Ticker,Price,52-Week-Low,52-Week-High,20-MA,50-MA,100-MA,150-MA,200-MA,Sector,Industry,P/E,PEG,P/FCF,Sales Q/Q %,EPS this Y %,EPS next Y %,Death MACD,Golden MACD,MTUM-MA-25,MTUM-EMA-25,Weekly Death MACD,Weekly Golden MACD
AA,49.25,39.56499862670898,98.08999633789062,52.16550006866455,48.4445955657959,55.83778167724609,63.61455579121908,61.27613874435425,Basic Materials,Aluminum,9.72,0.0,8.09,28.6,347.0,7.12,2022-08-31,2022-07-08,113.406631784886,102.77726906589989,2022-04-18,2022-08-15
ABC,147.7100067138672,113.68000030517578,167.19000244140625,147.9721321105957,144.53077056884766,148.35020904541017,147.61818288167316,142.2754845046997,Healthcare,Medical Distribution,16.96,1.67,18.85,12.5,144.4,11.47,2022-08-26,2022-08-09,102.7757721908269,100.95728474978289,2022-05-09,2022-08-15
AAL,12.989999771118164,11.93000030517578,22.350000381469727,14.258999967575074,14.1182000541687,15.49519998550415,15.92206661860148,16.41779996395111,Industrials,Airlines,0.0,0.0,0.0,79.5,83.1,1.53,2022-08-19,2022-08-01,102.95893080385746,98.40513221187776,2022-08-29,2022-08-08
AEE,92.93000030517578,80.2699966430664,99.1999969482422,94.82899894714356,91.41059951782226,91.68349334716795,90.43009180704752,89.2105392074585,Utilities,Utilities - Regulated Electric,23.85,3.22,16.86,17.3,9.7,4.37,2022-08-25,2022-07-22,106.5844286618652,103.83061709229608,2022-05-30,2022-08-08
ADM,87.61000061035156,58.43999862670898,98.87999725341795,86.81804504394532,80.35452835083008,83.7651838684082,83.17905746459961,78.89415151596069,Consumer Defensive,Farm Products,13.83,1.5,62.24,19.0,52.5,6.16,2022-08-31,2022-07-13,114.7975778340471,106.94316199635097,2022-05-09,2022-08-08
AEP,101.08999633789062,80.22000122070312,105.4800033569336,102.53799934387207,97.98748168945312,98.00600440979004,95.97769348144531,93.15224761962892,Utilities,Utilities - Regulated Electric,19.92,3.14,12.86,21.3,14.6,5.28,2022-08-24,2022-07-22,107.34969883201724,104.23775862245375,2022-06-06,2022-08-08
ACHR,3.359999895095825,2.609999895095825,10.53499984741211,3.971000015735626,3.674800028800965,3.8507000207901,3.779466681480408,4.221450006961822,Industrials,Aerospace & Defense,0.0,0.0,0.0,0.0,-742.7,-1.27,2022-08-18,2022-07-18,124.36784445824225,108.758624506179,2022-08-29,2022-07-25
ABNB,113.63999938964844,86.70999908447266,212.58399963378903,116.8365005493164,108.06000030517578,118.11560020446775,132.40580032348632,141.34035037994386,Consumer Cyclical,Travel Services,61.96,1.35,27.17,57.6,92.4,2.52,2022-08-19,2022-07-05,117.78264841215896,106.17857227877832,2022-04-25,2022-07-25
ACN,284.07000732421875,261.7699890136719,417.3699951171875,307.27950286865234,294.83356689453126,295.0863232421875,305.6044364420573,321.6601527404785,Technology,Information Technology Services,27.56,2.17,37.26,21.8,16.0,12.04,2022-08-22,2022-07-19,108.8507992599178,103.9159932760098,2022-01-10,2022-07-18
ADI,148.6300048828125,138.5,191.9499969482422,165.3229133605957,160.53997802734375,158.59377044677734,158.50321523030598,161.8361624908447,Technology,Semiconductors,41.16,2.48,36.33,76.8,5.6,9.57,2022-08-17,2022-07-07,108.93777438562635,103.78987842445078,2022-08-29,2022-07-18
