Ticker,Price,52-Week-Low,52-Week-High,20-MA,50-MA,100-MA,150-MA,200-MA,Sector,P/E,PEG,P/FCF,Sales Q/Q %,EPS this Y %,EPS next Y %,Death MACD,Golden MACD,MTUM-MA-25,MTUM-EMA-25,Weekly Death MACD,Weekly Golden MACD
RDWR,21.729999542236328,20.51000022888184,42.18999862670898,21.985999870300294,22.2557999420166,24.02249994277954,26.861133308410643,28.67119997024536,Technology | Software - Infrastructure | Israel,164.62,9.46,15.66,7.7,-18.5,0.97,2022-08-17,2022-06-23,100.51791687580966,96.773888049931,2022-08-22,2022-08-29
MNTV,6.960000038146973,6.579999923706055,25.0,7.423499965667725,8.445199995040893,10.840999989509582,12.617799978256226,14.416699993610385,Technology | Software - Application | USA,-,-,84.54,9.9,-28.0,0.31,2022-08-22,2022-08-25,82.04378412337253,82.45024028832758,2022-08-01,2022-08-29
RPTX,12.539999961853027,8.0649995803833,35.040000915527344,12.225999975204466,13.172399997711182,12.247499990463258,12.911799977620444,14.67389997959137,Healthcare | Biotechnology | Canada,-,-,-,133.3,-95.3,-3.1,2022-08-30,2022-08-31,87.2976040794768,97.78623517623846,2022-08-01,2022-08-29
PEGA,35.65999984741211,35.220001220703125,142.5500030517578,38.61999988555908,43.43512229919433,50.87625682830811,62.08317619323731,73.34677194595336,Technology | Software - Application | USA,-,-,-,-15.8,-1.4,0.96,2022-08-23,2022-09-01,81.04597302635324,84.80742435428402,2022-08-22,2022-08-29
HPK,26.350000381469727,7.599999904632568,38.209999084472656,23.432999992370604,23.747777671813964,27.02100816726685,24.921242586771648,22.585317244529723,Energy | Oil & Gas E&P | USA,27.91,-,-,317.0,152.9,5.81,2022-08-04,2022-08-18,95.53950582894588,95.99458624121053,2022-06-13,2022-08-22
UPLD,9.84000015258789,9.31999969482422,39.89599990844727,11.006500053405762,12.194400062561035,13.215800018310548,14.717633361816404,15.943424997329712,Technology | Software - Application | USA,-,-,7.75,5.1,0.1,1.68,2022-09-01,2022-08-04,84.741760316122,88.91832191641028,2022-08-29,2022-08-22
BIDU,140.0500030517578,101.62000274658205,182.6000061035156,138.5950019836426,141.96260131835936,135.4845011138916,139.9954674275716,142.1758506011963,Communication Services | Internet Content & Information | China,-,-,19.68,-5.4,-56.8,65.57,2022-08-17,2022-08-24,95.03923284146089,99.69524798035742,2022-07-18,2022-08-22
BILI,23.57999992370605,14.93000030517578,93.47000122070312,24.375999927520752,25.050999908447267,24.07899995803833,25.930599975585935,31.88550006866455,Communication Services | Electronic Gaming & Multimedia | China,-,-,-,29.6,-105.2,-11.62,2022-08-17,2022-08-25,94.72467727409548,98.71295314352734,2022-08-15,2022-08-22
BKR,25.280000686645508,21.68000030517578,39.77999877929688,25.30299997329712,26.030480995178223,29.792100658416743,30.592212727864585,29.07515130996704,Energy | Oil & Gas Equipment & Services | USA,-,-,-,-1.8,98.2,1.69,2022-07-21,2022-07-29,93.2386557368698,92.40809948413516,2022-06-06,2022-08-22
JD,61.290000915527344,41.560001373291016,92.69000244140624,58.93850021362304,61.02320014953613,58.56810054779053,60.37485221862793,63.67159282684326,Consumer Cyclical | Internet Retail | China,-,-,13.33,5.4,-107.2,19.5,2022-07-05,2022-08-24,94.67782328501087,98.96441971536753,2022-08-08,2022-08-22
TARO,32.5,32.150001525878906,71.0,34.01749954223633,35.9539998626709,36.79289989471435,39.738533299764,42.312049865722656,Healthcare | Drug Manufacturers - Specialty & Generic | Israel,13.41,-,-,6.5,115.3,-,2022-09-02,2022-08-23,91.17729740130544,94.05247524868028,2022-08-29,2022-08-22
HAL,30.01000022888184,19.09000015258789,43.9900016784668,29.715499877929688,29.41759994506836,33.49829595565796,33.92676334381103,31.54822012901306,Energy | Oil & Gas Equipment & Services | USA,18.8,0.36,63.55,36.9,148.9,2.78,2022-06-13,2022-07-19,100.15342532450724,96.66051650006762,2022-06-13,2022-08-22
PDD,72.19000244140625,23.209999084472656,109.79000091552734,54.8875,55.93799980163574,50.72369979858399,49.86213320414225,52.84504985809326,Consumer Cyclical | Internet Retail | China,36.02,0.64,17.6,36.4,190.3,23.15,2022-08-18,2022-08-23,94.09029210257287,104.97773619771696,2022-07-18,2022-08-22
CVE,18.93000030517578,7.96999979019165,24.90999984741211,18.49250011444092,18.099400138854985,19.19931812286377,18.0588272857666,16.75346851825714,Energy | Oil & Gas Integrated | Canada,12.17,-,11.39,80.2,114.0,4.33,2022-08-05,2022-08-10,102.46444055628064,100.4079597644566,2022-06-13,2022-08-22
DQ,64.43000030517578,32.20000076293945,81.0999984741211,66.56600036621094,66.65599967956543,57.55589984893799,52.71879989624024,50.82654996871948,Technology | Semiconductor Equipment & Materials | China,3.09,-,-,181.9,465.9,21.06,2022-09-02,2022-08-26,98.20326368730076,107.49294100165552,2022-08-29,2022-08-22
KR,48.43000030517578,38.220001220703125,62.77999877929688,48.31272583007812,47.53659477233887,50.07722206115723,50.52930254618327,48.98554666519165,Consumer Defensive | Grocery Stores | USA,16.72,1.49,18.38,8.0,-33.6,4.06,2022-08-30,2022-07-29,101.55426555535156,99.48022739948566,2022-04-18,2022-08-15
ULTA,423.0799865722656,330.79998779296875,438.6300048828125,404.7355010986328,396.1235998535156,396.89380035400393,390.9305342610677,390.3845002746582,Consumer Cyclical | Specialty Retail | USA,19.82,1.87,22.56,16.8,478.2,22.93,2022-08-01,2022-08-12,102.10407327338648,101.7945954574638,2022-07-25,2022-08-15
CTRA,30.11000061035156,14.510000228881836,36.54999923706055,29.74811105728149,28.10417781829834,29.1470326423645,27.28937661488851,25.260917768478397,Energy | Oil & Gas E&P | USA,8.43,1.07,42.55,692.1,358.9,4.36,2022-09-02,2022-08-11,108.12600094225608,103.42215268538234,2022-06-13,2022-08-15
APA,38.79999923706055,17.450000762939453,51.95000076293945,36.6850004196167,35.21262897491455,39.11293684005737,38.40934697469076,35.791309661865235,Energy | Oil & Gas E&P | USA,4.37,0.13,2.99,73.5,120.2,10.54,2022-06-13,2022-07-19,105.20069095346436,100.59846980008886,2022-06-13,2022-08-15
WRB,64.7699966430664,47.133331298828125,72.31999969482422,65.71749954223633,65.2047998046875,66.46747329711914,64.9074865468343,62.10203790664673,Financial | Insurance - Property & Casualty | USA,15.85,1.76,8.16,9.4,95.0,4.76,2022-08-31,2022-08-08,99.24242010411696,99.58501568229023,2022-08-29,2022-08-15
AMGN,242.3699951171875,198.63999938964844,258.45001220703125,245.76544265747071,245.17695098876956,243.5438514709473,238.6317586263021,232.36016052246092,Healthcare | Drug Manufacturers - General | USA,20.53,2.56,30.91,1.0,-16.5,18.75,2022-08-23,2022-08-10,99.82199938023425,100.16253279721607,2022-08-22,2022-08-15
IBM,127.79000091552734,114.55999755859376,144.72999572753906,132.9434986114502,133.4209858703613,133.1677027130127,130.60515431722004,128.63738143920898,Technology | Information Technology Services | USA,20.24,2.1,-,9.3,13.4,10.09,2022-08-26,2022-08-03,97.72813578487003,99.04629872819548,2022-08-22,2022-08-15
CHKP,117.61000061035156,107.8499984741211,149.6199951171875,121.87600059509278,122.81500015258788,124.97919998168943,128.65139979044596,125.4484998703003,Technology | Software - Application | Israel,19.55,2.73,14.3,8.6,2.0,7.94,2022-08-31,2022-08-15,97.49720871940166,98.18029920653198,2022-08-22,2022-08-15
ARCH,141.85000610351562,69.45999908447266,183.52999877929688,148.0624584197998,139.1389303588867,145.65316291809083,136.98829488118488,123.05028926849366,Energy | Thermal Coal | USA,2.92,-,5.55,151.6,184.4,33.21,2022-08-31,2022-08-10,104.63612117708682,102.18837383373378,2022-08-29,2022-08-15
LDOS,93.70999908447266,81.06999969482422,111.12000274658205,98.75499992370604,100.18899978637695,101.61955871582032,100.81696690877278,97.96220832824709,Technology | Information Technology Services | USA,18.24,2.76,21.6,4.3,20.7,7.08,2022-08-24,2022-08-18,98.1681810335249,98.38030669910866,2022-08-22,2022-08-15
AIZ,158.89999389648438,144.17999267578125,194.1199951171875,163.41025314331054,167.1416848754883,173.71371856689453,172.15828786214192,167.25914443969725,Financial | Insurance - Specialty | USA,18.89,1.08,-,-1.4,27.7,14.19,2022-08-29,2022-08-15,95.19073960205148,96.21511411667711,2022-08-22,2022-08-15
MRO,25.709999084472656,11.020000457763672,33.2400016784668,24.515487003326417,23.162355880737305,25.184956645965578,24.433828417460123,22.50853983402252,Energy | Oil & Gas E&P | USA,6.1,0.37,5.17,101.8,165.5,4.26,2022-08-09,2022-08-10,108.943378401706,102.94038274485536,2022-06-13,2022-08-15
NOC,476.9500122070313,344.8900146484375,497.2000122070313,481.4609603881836,471.5515606689453,463.6211990356445,449.7280389404297,430.9668840026856,Industrials | Aerospace & Defense | USA,13.28,2.18,-,-3.8,128.8,27.02,2022-08-30,2022-07-29,103.90738889607168,103.14121241689855,2022-08-29,2022-08-15
VLO,113.81999969482422,61.86000061035156,146.80999755859375,116.503999710083,110.43083709716797,115.2804721069336,106.63086349487304,98.1597229385376,Energy | Oil & Gas Refining & Marketing | USA,6.53,-,5.04,86.1,164.8,16.28,2022-09-01,2022-07-18,107.43618694254044,103.34926530315084,2022-06-13,2022-08-15
AZN,60.68999862670898,53.630001068115234,71.69999694824219,65.54080791473389,65.72288536071777,65.16051132202148,63.806392466227216,61.7844437789917,Healthcare | Drug Manufacturers - General | United Kingdom,-,-,86.41,31.0,-96.8,3.64,2022-08-29,2022-08-15,98.81440806096276,99.99498719832047,2022-08-22,2022-08-15
