Ticker,Price,52-Week-Low,52-Week-High,20-MA,50-MA,100-MA,150-MA,200-MA,Sector,P/E,PEG,P/FCF,Sales Q/Q %,EPS this Y %,EPS next Y %,Death MACD,Golden MACD,MTUM-MA-25,MTUM-EMA-25,Weekly Death MACD,Weekly Golden MACD
PENN,30.86000061035156,26.459999084472656,86.4000015258789,33.891000270843506,33.19920009613037,33.11400003433228,37.05000006357829,39.83589999198914,Consumer Cyclical | Resorts & Casinos | USA,26.51,4.77,9.14,5.2,147.8,2.12,2022-08-18,2022-07-15,107.05417332865689,102.74169677387405,2022-09-05,2022-09-06
SE,58.41999816894531,54.06000137329102,372.7000122070313,70.73199977874756,73.68739967346191,77.33129974365234,93.26739990234377,124.6114998626709,Communication Services | Electronic Gaming & Multimedia | Singapore,,,130.46,29.0,-13.3,-3.42,2022-08-17,2022-07-19,100.10890421817614,95.10954136099001,2022-09-05,2022-09-06
PRNT,21.549999237060547,20.34000015258789,40.34000015258789,23.174499988555908,22.49159992218017,22.99697992324829,25.06378662109375,27.1006399345398,Financial | Exchange Traded Fund | USA,,,,,,,2022-08-19,2022-06-24,107.2887025534164,101.86305080363097,2022-09-05,2022-09-06
NIU,5.110000133514403,5.059999942779541,30.10000038146973,6.218500065803528,6.7688000392913805,7.481400017738342,8.716666682561238,10.782350018024442,Consumer Cyclical | Auto Manufacturers | China,25.94,6.3,,-12.4,32.0,0.77,2022-08-29,2022-08-25,86.65187609817305,88.5841271257102,2022-09-05,2022-09-06
MTLS,11.529999732971193,11.130000114440918,27.54999923706055,12.324999952316285,13.284199962615967,14.35669994354248,16.165066630045573,17.739049978256226,Technology | Software - Application | Belgium,47.45,,35.41,14.6,275.3,0.14,2022-08-08,2022-06-21,91.08555061539364,91.15630550723768,2022-08-15,2022-09-06
PLTK,10.270000457763672,9.970000267028807,30.0,11.17350001335144,12.124600028991699,13.61010000228882,15.14560000101725,15.785500001907348,Communication Services | Electronic Gaming & Multimedia | Israel,13.97,44.64,7.78,0.1,215.1,0.79,2022-08-18,2022-08-11,88.66392487810596,89.35684263890506,2022-08-15,2022-09-06
ONVO,2.619999885559082,1.7100000381469729,8.130000114440918,2.7729999542236334,2.747599999904633,2.634299994707108,2.9181333295504253,3.1856000012159353,Healthcare | Diagnostics & Research | USA,,,,,46.0,,2022-08-15,2022-08-08,114.60849317951084,108.38202658595512,2022-08-22,2022-09-06
QTWO,37.9900016784668,34.419998168945305,92.33999633789062,42.77450008392334,42.11120010375976,44.837900009155284,50.47206672668458,56.7083500289917,Technology | Software - Application | USA,,,,13.5,24.4,0.6,2022-08-19,2022-06-24,106.75722721627054,100.10288610410635,2022-09-05,2022-09-06
RPTX,11.989999771118164,8.064999580383299,35.040000915527344,12.171499967575073,13.115399990081787,12.254299983978274,12.888866640726723,14.59849997997284,Healthcare | Biotechnology | Canada,,,,133.3,-95.3,-3.1,2022-08-30,2022-08-31,88.24311063701784,97.96671198965952,2022-09-05,2022-08-29
PEGA,35.349998474121094,35.029998779296875,142.5500030517578,38.351499748229976,43.08836570739746,50.47022060394287,61.65802528381348,72.93760213851928,Technology | Software - Application | USA,,,,-15.8,-1.4,0.96,2022-08-23,2022-09-01,81.47747359778279,84.90931974900208,2022-08-22,2022-08-29
RDWR,21.700000762939453,20.51000022888184,42.18999862670898,21.925999927520753,22.237999954223632,23.93569995880127,26.781599973042802,28.619049968719484,Technology | Software - Infrastructure | Israel,164.39,9.45,15.64,7.7,-18.5,0.97,2022-08-17,2022-09-06,100.30152340337914,96.71884269626202,2022-08-22,2022-08-29
