Ticker,Price,52-Week-Low,52-Week-High,20-MA,50-MA,100-MA,150-MA,200-MA,Sector,P/E,PEG,P/FCF,Sales Q/Q %,EPS this Y %,EPS next Y %,Death MACD,Golden MACD,MTUM-MA-25,MTUM-EMA-25,Weekly Death MACD,Weekly Golden MACD
AAL,13.890000343322756,11.93000030517578,22.350000381469727,14.132499980926516,14.111200065612795,15.405499992370606,15.880799961090087,16.357099967002867,Industrials | Airlines | USA,,,,79.5,83.1,1.43,2022-08-19,2022-08-01,102.35680283178115,98.20443310809816,2022-08-29,2022-09-05
ADM,87.2300033569336,58.43999862670898,98.87999725341795,87.23544044494629,80.81591293334961,83.60584182739258,83.34288752237956,79.10710359573365,Consumer Defensive | Farm Products | USA,13.77,1.5,61.03,19.0,52.5,6.16,2022-08-31,2022-07-13,114.20256694436588,106.68881389901121,2022-05-09,2022-08-22
DVN,68.36000061035156,27.399999618530273,79.4000015258789,68.41299991607666,61.03599990844727,63.83969989776611,61.66313311258952,57.523849086761466,Energy | Oil & Gas E&P | USA,8.67,0.24,8.34,132.8,161.7,10.11,2022-09-02,2022-07-15,118.3094905350158,109.63215592940931,2022-06-13,2022-08-22
AEP,104.73999786376952,80.22000122070312,105.4800033569336,102.85949897766113,98.37127670288086,98.05523429870605,96.19004735310871,93.37343563079834,Utilities | Utilities - Regulated Electric | USA,20.63,3.25,13.29,21.3,14.6,5.28,2022-08-24,2022-07-22,107.32252165485426,104.25516486844565,2022-06-06,2022-08-15
DTE,135.28999328613278,108.22000122070312,140.22999572753906,133.78249893188476,129.43459991455077,129.54090003967286,128.28006678263347,125.32212524414062,Utilities | Utilities - Regulated Electric | USA,33.31,8.41,17.94,63.0,-24.9,6.28,2022-08-24,2022-07-25,105.81260734633513,103.43550611752359,2022-05-16,2022-08-15
BFH,36.70000076293945,34.549999237060554,84.66081237792969,41.02400016784668,40.337216491699216,45.59604995727539,50.866985117594396,55.382132472991934,Financial | Credit Services | USA,3.82,0.74,,14.4,266.9,11.08,2022-08-24,2022-08-10,101.21475081210748,95.30790856123156,2022-02-28,2022-08-08
DE,365.9400024414063,283.80999755859375,446.760009765625,369.0914993286133,336.84580017089837,349.40427307128914,363.30902770996096,361.80024322509763,Industrials | Farm & Heavy Construction Machinery | USA,18.29,1.32,68.99,22.6,118.6,26.14,2022-08-30,2022-07-08,117.48681455627212,108.02873337502277,2022-05-02,2022-08-08
BECN,53.459999084472656,45.709999084472656,65.30000305175781,58.31450004577637,57.16180000305176,58.280800018310536,58.20753341674805,57.33130006790161,Industrials | Building Products & Equipment | USA,10.1,1.14,,26.0,-73.0,6.14,2022-08-22,2022-08-16,105.78981253995843,101.81239904079617,2022-08-29,2022-08-08
AEE,95.61000061035156,80.2699966430664,99.1999969482422,94.40978202819824,91.07170761108398,91.07410896301269,89.95513865152996,88.75535346984863,Utilities | Utilities - Regulated Electric | USA,24.53,3.32,17.24,17.3,9.7,4.37,2022-08-25,2022-07-22,106.29060970916314,103.63784024881564,2022-06-06,2022-08-08
LIN,285.8299865722656,265.1199951171875,352.17999267578125,294.79856872558594,289.35935302734373,299.93487579345697,300.1144045003255,306.61049163818365,Basic Materials | Specialty Chemicals | United Kingdom,41.45,4.15,31.11,11.5,55.7,13.06,2022-08-22,2022-07-18,104.7284797054795,100.24182114515476,2022-08-22,2022-08-08
BKNG,1872.449951171875,1669.3399658203125,2715.659912109375,1987.9604919433593,1892.2302026367188,2012.3285021972656,2103.9353271484374,2159.0089904785154,Consumer Cyclical | Travel Services | USA,49.92,1.02,12.75,98.8,116.8,121.5,2022-08-23,2022-07-18,110.1280738438554,102.15237829283548,2022-06-06,2022-08-08
AKAM,90.29000091552734,85.9000015258789,123.25,93.48150062561035,92.92800064086914,97.57680023193359,102.71453364054364,105.45335025787355,Technology | Software - Infrastructure | USA,25.68,2.41,13.57,5.9,16.6,5.72,2022-08-22,2022-07-19,102.4254687038874,99.05996407042608,2022-08-29,2022-08-08
AZRE,4.860000133514403,3.259999990463257,25.30100059509277,8.832499957084655,10.524199972152712,12.185899987220767,13.758133319218954,14.737650001049044,Utilities | Utilities - Renewable | India,,,,27.2,-66.3,0.76,2022-08-19,2022-07-18,81.30457332121014,80.20788228825296,2022-08-22,2022-08-08
LNG,155.6699981689453,84.19000244140625,172.25,162.1895004272461,146.44695327758788,140.77608741760253,137.01478927612305,129.08296600341794,Energy | Oil & Gas Midstream | USA,,,8.25,165.4,191.2,14.89,2022-08-30,2022-07-19,119.02421517960501,112.10026765112816,2022-05-09,2022-08-08
EBIX,23.21999931335449,12.5,44.41999816894531,24.307318496704106,21.91595020294189,24.760192403793337,27.03635507583618,27.96121528148651,Technology | Software - Application | USA,10.28,1.03,16.59,1.8,-26.3,3.29,2022-09-06,2022-08-30,124.03409875585777,109.60097018422121,2022-04-25,2022-08-08
LBTYA,19.40999984741211,18.81999969482422,30.57999992370605,20.731500148773197,21.071400146484372,22.14630006790161,23.42773334503174,24.439949979782103,Communication Services | Entertainment | United Kingdom,2.68,,5.24,-41.3,937.1,0.02,2022-08-19,2022-07-18,98.3298180493908,96.303622392408,2022-08-22,2022-08-08
LBTYK,20.440000534057614,19.81999969482422,30.489999771118164,21.93100004196167,22.187000045776372,23.194400005340576,24.235533396403,25.091050033569328,Communication Services | Entertainment | United Kingdom,,,,-41.3,,,2022-08-19,2022-07-18,99.05908616196669,96.92296543333792,2022-08-22,2022-08-08
AYX,62.93999862670898,43.45000076293945,81.30000305175781,64.35100021362305,56.652600021362296,57.42449996948242,59.116999944051116,59.439949932098386,Technology | Software - Application | USA,,,,50.4,-624.7,0.1,2022-08-22,2022-07-20,129.42076277484628,115.74130510726177,2022-05-16,2022-08-01
ABNB,116.06999969482422,86.70999908447266,212.58399963378903,116.8120002746582,108.5552001953125,117.09370010375977,131.86486694335935,140.47200035095216,Consumer Cyclical | Travel Services | USA,63.29,1.38,26.7,57.6,92.4,2.52,2022-08-19,2022-07-05,116.9812968607802,105.78665491710458,2022-04-25,2022-08-01
