Ticker,Price,52-Week-Low,52-Week-High,20-MA,50-MA,100-MA,150-MA,200-MA,Sector,P/E,PEG,P/FCF,Sales Q/Q %,EPS this Y %,EPS next Y %,Death MACD,Golden MACD,MTUM-MA-25,MTUM-EMA-25,Weekly Death MACD,Weekly Golden MACD
BHP,53.34000015258789,46.28010559082031,71.06155395507812,52.58809280395508,50.63583885192871,53.68913688659668,55.77097259521484,54.56016332626343,Basic Materials | Other Industrial Metals & Mining | Australia,6.68,,7.34,36.9,44.9,,2022-08-31,2022-07-21,105.45964754381065,99.71140428981899,2022-08-29,2022-09-09
LOGI,50.56999969482422,46.45000076293945,106.25,52.57149963378906,54.03239982604981,56.80309982299805,62.67913330078125,67.4503999710083,Technology | Computer Hardware | Switzerland,15.33,1.7,29.88,-11.6,-31.4,4.28,2022-08-18,2022-06-24,98.52471753000721,95.83375347839457,2022-09-05,2022-09-09
DCT,11.949999809265135,11.40999984741211,50.9000015258789,12.549999904632568,13.668200016021727,15.55600004196167,17.552199974060063,20.109099988937377,Technology | Software - Application | USA,,,3165.79,6.6,43.6,0.12,2022-08-22,2022-09-09,88.5961640426137,87.4149780890456,2022-08-22,2022-09-09
ACHR,3.5,2.609999895095825,10.53499984741211,3.779500019550324,3.671800026893616,3.829900016784668,3.7920000139872228,4.17095000743866,Industrials | Aerospace & Defense | USA,,,,,-742.7,-1.27,2022-08-18,2022-07-18,117.0433991690635,104.60224607886649,2022-09-05,2022-09-09
AKAM,91.69000244140624,85.9000015258789,123.25,93.09350090026855,92.87580078125,97.01160026550293,102.39126698811847,105.25515026092528,Technology | Software - Infrastructure | USA,26.08,2.45,13.78,5.9,16.6,5.72,2022-08-22,2022-07-19,101.66327822592707,98.72752568641977,2022-09-05,2022-09-09
KR,51.93999862670898,38.22000122070313,62.77999877929688,48.89949970245361,47.65693786621094,49.75313751220703,50.69037216186523,49.16122814178467,Consumer Defensive | Grocery Stores | USA,17.94,1.59,19.72,8.0,-33.6,4.06,2022-09-08,2022-09-09,103.07042760601264,100.45799864096053,2022-05-02,2022-09-05
BIIB,211.83999633789062,187.16000366210938,345.7799987792969,206.31499938964845,210.9551995849609,206.94469955444336,208.0353326416016,214.3822995758057,Healthcare | Drug Manufacturers - General | USA,15.12,,12.19,-6.7,-58.1,15.82,2022-08-18,2022-09-09,97.9407272076318,99.24618428432221,2022-08-29,2022-09-05
AAL,14.1899995803833,11.93000030517578,22.350000381469727,14.036999988555909,14.143600063323975,15.311599979400635,15.84493330001831,16.30329996585846,Industrials | Airlines | USA,,,,79.5,83.1,1.43,2022-08-19,2022-09-09,101.09667227579055,97.9971189879328,2022-08-29,2022-09-05
BIDU,138.42999267578122,101.62000274658205,182.6000061035156,138.46100082397462,140.65760101318358,135.7294009399414,139.41553385416665,141.82925048828125,Communication Services | Internet Content & Information | China,,,19.45,-5.4,-56.8,65.57,2022-09-07,2022-08-24,96.77720124496064,99.75273804287072,2022-08-15,2022-08-22
BG,96.88999938964844,74.2699966430664,128.39999389648438,99.52874717712402,94.33055603027344,101.67008201599121,103.47694544474285,100.36755607604981,Consumer Defensive | Farm Products | USA,8.43,,,16.5,79.1,11.86,2022-08-31,2022-07-12,110.05446596777769,102.62436480968547,2022-05-09,2022-08-22
AIR,43.02999877929688,30.899999618530273,52.83000183105469,44.83749980926514,43.89539985656738,45.06269992828369,45.244000040690096,43.49129998207092,Industrials | Aerospace & Defense | USA,19.86,1.45,25.94,8.8,66.4,3.5,2022-08-22,2022-07-06,105.47117213697163,101.45802561368538,2022-08-29,2022-08-15
LMT,421.5299987792969,324.2300109863281,479.989990234375,428.011457824707,417.7284747314453,424.0296139526368,424.4665152994792,405.92188095092763,Industrials | Aerospace & Defense | USA,24.39,2.54,25.3,-9.3,-7.1,27.95,2022-08-26,2022-07-28,104.67525529973813,101.7480374378166,2022-08-29,2022-08-15
DVN,68.51000213623047,27.399999618530273,79.4000015258789,69.05850028991699,61.478800048828134,63.54212421417236,61.13911277770996,56.88311338424682,Energy | Oil & Gas E&P | USA,8.68,0.24,8.36,132.8,161.7,10.11,2022-09-02,2022-07-15,120.48102318671064,110.69145585339399,2022-06-13,2022-08-15
BCC,63.540000915527344,51.29999923706055,85.16999816894531,67.16008377075195,65.78607620239258,69.5602237701416,70.79507512410481,69.82439758300781,Basic Materials | Lumber & Wood Production | USA,3.23,,6.71,-6.8,305.0,9.81,2022-08-22,2022-07-08,106.60790530005806,100.5597538941652,2022-08-29,2022-08-15
AZN,60.849998474121094,53.63000106811523,71.69999694824219,64.58199958801269,65.26104782104493,64.84141536712646,63.903397064208974,61.879566650390615,Healthcare | Drug Manufacturers - General | United Kingdom,,,86.64,31.0,-96.8,3.64,2022-08-29,2022-08-15,97.75775666336456,98.82766475396437,2022-08-22,2022-08-15
AA,52.61999893188477,39.56499862670898,98.08999633789062,51.755499839782715,48.477703170776365,54.342259674072274,63.35698097229004,61.30736854553223,Basic Materials | Aluminum | USA,10.38,,8.28,28.6,347.0,7.12,2022-08-31,2022-07-08,113.97737021570879,102.70942429837281,2022-04-18,2022-08-15
ABC,147.27000427246094,113.68000030517578,167.19000244140625,148.5385009765625,144.6514471435547,147.7897621154785,147.92469411214194,142.78779975891112,Healthcare | Medical Distribution | USA,16.91,1.67,18.26,12.5,144.4,11.47,2022-08-26,2022-08-09,103.87176413792551,101.39379430204342,2022-08-22,2022-08-15
ADM,91.47000122070312,58.43999862670898,98.87999725341795,87.97539138793945,81.40074554443359,83.50755310058594,83.55356053670248,79.36662048339844,Consumer Defensive | Farm Products | USA,14.43,1.57,63.99,19.0,52.5,6.16,2022-08-31,2022-07-13,114.4773762329047,106.98882670963695,2022-05-09,2022-08-15
BFH,39.84000015258789,34.549999237060554,84.66081237792969,40.52150001525879,40.345644607543946,45.26229343414307,50.47288162231445,55.036605319976815,Financial | Credit Services | USA,4.15,0.8,,14.4,266.9,11.08,2022-08-24,2022-08-10,100.90527542565664,95.52593280340606,2022-06-06,2022-08-08
AEE,95.61000061035156,80.2699966430664,99.1999969482422,94.59195518493652,91.31826690673829,91.07942428588869,90.07007649739582,88.87102458953858,Utilities | Utilities - Regulated Electric | USA,24.53,3.32,17.24,17.3,9.7,4.37,2022-08-25,2022-07-22,106.36783336177677,103.63317032041824,2022-05-30,2022-08-08
AEP,104.70999908447266,80.22000122070312,105.48999786376952,103.1669994354248,98.7657632446289,98.13683029174804,96.40974629720051,93.59866844177246,Utilities | Utilities - Regulated Electric | USA,20.63,3.25,13.28,21.3,14.6,5.28,2022-08-24,2022-07-22,107.30751177973906,104.2803284273724,2022-06-06,2022-08-08
LIN,287.0299987792969,265.1199951171875,352.17999267578125,292.70931701660163,289.13033203125,299.33317443847665,299.74306396484377,306.20531356811523,Basic Materials | Specialty Chemicals | United Kingdom,41.63,4.17,31.24,11.5,55.7,13.06,2022-08-22,2022-07-18,104.07243869018744,99.83097466678718,2022-08-22,2022-08-08
BKNG,1981.030029296875,1669.3399658203125,2715.659912109375,1977.940496826172,1896.9962036132813,2006.9330017089844,2097.325660807292,2155.2586413574218,Consumer Cyclical | Travel Services | USA,52.82,1.08,13.49,98.8,116.8,121.5,2022-08-23,2022-07-18,109.49332198283483,101.94301317041833,2022-06-06,2022-08-08
BKI,67.73999786376953,52.0,84.2699966430664,67.01250038146972,65.57880012512207,66.64850002288819,64.89786651611328,67.83619987487793,Technology | Software - Infrastructure | USA,20.3,2.0,32.62,9.2,-22.7,2.88,2022-08-29,2022-07-20,103.27998271922024,101.45857951525349,2022-07-04,2022-08-08
DTE,135.5,108.22000122070312,140.22999572753906,134.0119987487793,129.81259963989257,129.1004138183594,127.73857365926105,124.5875672531128,Utilities | Utilities - Regulated Electric | USA,33.36,8.42,17.97,63.0,-24.9,6.28,2022-08-24,2022-07-25,105.88542402467226,103.49091453758136,2022-05-09,2022-08-08
LBTYA,19.59000015258789,18.81999969482422,30.57999992370605,20.491500091552734,20.957000160217284,22.02980007171631,23.31520001729329,24.3506999874115,Communication Services | Entertainment | United Kingdom,2.7,,5.29,-41.3,937.1,0.02,2022-08-19,2022-07-18,97.68350451125042,95.78274685031059,2022-08-22,2022-08-01
AYX,68.44000244140625,43.45000076293945,81.30000305175781,64.27000045776367,57.2842000579834,57.327300033569344,59.30646662394206,59.456699962615964,Technology | Software - Application | USA,,,,50.4,-624.7,0.1,2022-08-22,2022-07-20,128.5147297629972,115.2363529944364,2022-05-16,2022-08-01
BECN,56.52999877929688,45.709999084472656,65.30000305175781,57.99300003051758,57.37459999084473,58.22400001525879,58.222066752115886,57.33285005569458,Industrials | Building Products & Equipment | USA,10.68,1.21,,26.0,-73.0,6.14,2022-08-22,2022-08-16,103.41623244179227,101.02206202022226,2022-08-29,2022-08-01
