,Ticker,ETF
0,AA,MTUM
1,AAL,QQQJ
2,AAPL,"QQQ,PTF,MTUM"
3,ABBV,MTUM
4,ABC,MTUM
5,ABNB,QQQ
6,ABST,HACK
7,ACCD,ARKG
8,ACHR,"ARKQ,ARKX"
9,ACIW,XSW
10,ACLS,"PTF,FFTY"
11,ACN,XSW
12,ADBE,"QQQ,XSW"
13,ADI,QQQ
14,ADM,MTUM
15,ADP,"QQQ,XSW"
16,ADPT,ARKG
17,ADSK,"QQQ,XSW"
18,ADYEY,ARKW
19,AEE,MTUM
20,AEP,"QQQ,MTUM"
21,AFRM,"QQQJ,XSW"
22,AGYS,XSW
23,AI,XSW
24,AIR,ARKX
25,AIZ,MTUM
26,AJG,MTUM
27,AKAM,"QQQJ,HACK"
28,ALGN,QQQ
29,ALLT,"HACK,IZRL"
30,ALNY,QQQJ
31,ALRM,XSW
32,ALTR,XSW
33,AMAT,QQQ
34,AMD,QQQ
35,AMGN,QQQ
36,AMPH,FFTY
37,AMPL,XSW
38,AMPS,TAN
39,AMR,FFTY
40,AMSWA,XSW
41,AMZN,"QQQ,ARKX"
42,AN,FFTY
43,ANET,MTUM
44,ANSS,"QQQ,XSW,ARKQ,ARKX"
45,AOSL,PTF
46,APA,MTUM
47,APP,"QQQJ,XSW"
48,APPF,XSW
49,APPN,XSW
50,APPS,XSW
51,ARBE,IZRL
52,ARCH,FFTY
53,ARCT,ARKG
54,ARQQ,HACK
55,ARRY,"TAN,PTF"
56,ASAN,XSW
57,ASML,QQQ
58,ATAI,ARKG
59,ATEN,"XSW,HACK"
60,ATGE,FFTY
61,ATKR,FFTY
62,ATO,MTUM
63,ATVI,"QQQ,PSJ,XSW"
64,AUDC,IZRL
65,AUID,HACK
66,AVAV,"ARKQ,ARKX"
67,AVGO,"QQQ,PTF,MTUM"
68,AVID,PTF
69,AVLR,XSW
70,AVPT,XSW
71,AVYA,XSW
72,AXON,QQQJ
73,AY,TAN
74,AYX,XSW
75,AZN,QQQ
76,AZO,MTUM
77,AZPN,XSW
78,AZRE,TAN
79,BAH,HACK
80,BB,HACK
81,BCC,FFTY
82,BEAM,"ARKK,ARKG"
83,BECN,FFTY
84,BFH,XSW
85,BFLY,ARKG
86,BG,MTUM
87,BGNE,QQQJ
88,BHP,FFTY
89,BIDU,"QQQ,ARKQ"
90,BIIB,QQQ
91,BILI,QQQJ
92,BILL,"XSW,ARKF"
93,BKI,XSW
94,BKNG,QQQ
95,BKR,MTUM
96,BL,XSW
97,BLDE,"ARKQ,ARKX"
98,BLI,"ARKK,ARKG"
99,BLKB,XSW
100,BMBL,PSJ
101,BMRN,QQQJ
102,BMY,MTUM
103,BNR,ARKG
104,BNTX,QQQJ
105,BOX,"PTF,PSJ,XSW"
106,BR,XSW
107,BRKR,QQQJ
108,BSY,"QQQJ,XSW"
109,BTRS,XSW
110,BYDDY,ARKQ
111,CACI,HACK
112,CAMT,IZRL
113,CASS,XSW
114,CAT,ARKQ
115,CB,MTUM
116,CCCS,XSW
117,CCEP,QQQJ
118,CCSI,XSW
119,CDAY,XSW
120,CDNA,ARKG
121,CDNS,"QQQ,PSJ,XSW"
122,CDW,"QQQJ,PTF"
123,CDXS,ARKG
124,CE,FFTY
125,CEG,QQQ
126,CERS,"ARKK,ARKG"
127,CF,MTUM
128,CFLT,XSW
129,CGEN,"ARKK,ARKG,IZRL"
130,CGNT,"HACK,IZRL"
131,CGNX,QQQJ
132,CHD,MTUM
133,CHKP,"QQQJ,PSJ,HACK,IZRL"
134,CHNG,PSJ
135,CHRW,"QQQJ,FFTY"
136,CHTR,QQQ
137,CIEN,PTF
138,CISO,HACK
139,CIVI,FFTY
140,CLBT,IZRL
141,CLF,MTUM
142,CLGN,IZRL
143,CMCSA,QQQ
144,CMS,MTUM
145,CNC,MTUM
146,CNDT,XSW
147,CNP,MTUM
148,CNXC,"PTF,XSW"
149,COIN,"ARKK,ARKF,ARKW"
150,COP,MTUM
151,COST,"QQQ,MTUM"
152,COUP,"QQQJ,XSW"
153,CPB,MTUM
154,CPE,FFTY
155,CPRT,QQQ
156,CPT,MTUM
157,CRGE,PSJ
158,CRK,FFTY
159,CRM,XSW
160,CRNC,XSW
161,CRNT,IZRL
162,CRSP,"ARKK,ARKG"
163,CRWD,"QQQ,XSW,ARKW,HACK"
164,CSCO,"QQQ,HACK"
165,CSGP,QQQJ
166,CSGS,"PSJ,XSW"
167,CSIQ,TAN
168,CSL,FFTY
169,CSX,QQQ
170,CTAS,QQQ
171,CTLP,XSW
172,CTRA,MTUM
173,CTSH,"QQQ,XSW"
174,CTVA,MTUM
175,CTXS,XSW
176,CVE,FFTY
177,CVLT,"XSW,HACK"
178,CVS,MTUM
179,CVX,MTUM
180,CWAN,XSW
181,CXM,XSW
182,CYBR,"HACK,IZRL"
183,CZR,QQQJ
184,DAR,FFTY
185,DBX,XSW
186,DCT,XSW
187,DDD,"ARKQ,ARKX"
188,DDOG,"QQQ,PSJ,XSW"
189,DE,"ARKQ,ARKX"
190,DG,MTUM
191,DIOD,PTF
192,DIS,ARKW
193,DISH,QQQJ
194,DKNG,"QQQJ,ARKK,ARKF,ARKW"
195,DLB,XSW
196,DLTR,"QQQ,MTUM"
