Tickers,Company,Sector,Index,Market Cap,Income,Sales,Book/sh,Cash/sh,Dividend,Dividend % %,Employees,Optionable,Shortable,Recom,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,SMA20 %,EPS (ttm),EPS next Y,EPS next Q,EPS this Y %,EPS next Y %,EPS next 5Y,EPS past 5Y %,Sales past 5Y %,Sales Q/Q %,EPS Q/Q %,Earnings,SMA50 %,Insider Own %,Insider Trans %,Inst Own %,Inst Trans %,ROA %,ROE %,ROI %,Gross Margin %,Oper. Margin %,Profit Margin %,Payout %,SMA200 %,Shs Outstand,Shs Float,Short Float %,Short Ratio,Target Price,52W Range,52W High %,52W Low %,RSI (14),Rel Volume,Avg Volume,Volume,Perf Week %,Perf Month %,Perf Quarter %,Perf Half Y %,Perf Year %,Perf YTD %,Beta,ATR,Volatility %,Prev Close,Price,Change %
AA,Alcoa Corporation,Basic Materials ,,9100000000.0,963000000.0,13390000000.0,31.13,9.06,0.4,0.8,12200.0,Yes,Yes,2.1,9.92,7.07,,0.68,1.62,5.55,8.15,1.0,1.8,0.3,0.3,-2.79,5.07,7.12,0.76,347.0,-1.4,-,24.8,5.5,28.6,81.5,Jul 20 Ae6C,3.35,0.2,0.0,86.2,-1.07,6.3,20.5,5.0,27.9,12.7,7.2,5.7,-18.27,182000000.0,173820000.0,6.29,1.87,58.22,39.56 - 98.09,-48.73,27.11,48.85,0.73,5850000.0,4300375.0,4.97,-4.68,0.9,-31.58,2.17,-15.59,2.32,2.69,4.63 4.64,52.34,50.29,-3.92
AAL,American Airlines Group Inc.,Industrials ,S&P 500,8720000000.0,-1922000000.0,40720000000.0,-12.95,19.65,,,123400.0,Yes,Yes,3.0,,9.55,,0.21,,0.7,,0.7,0.8,,,-2.27,-3.04,1.43,0.28,83.1,197.3,,-21.7,-5.7,79.5,2405.3,Jul 21 e9e6O,-3.52,0.6,-0.33,54.5,-2.7,-2.8,23.9,-1.6,57.7,-2.2,-4.7,,-15.96,650350000.0,642140000.0,12.08,2.38,16.86,11.93 - 22.35,-38.79,14.67,46.44,0.96,32590000.0,31189823.0,3.48,-10.3,2.7,-4.0,-29.16,-23.83,1.52,0.53,3.44 3.32,14.47,13.68,-5.46
AAPL,Apple Inc.,Technology ,DJIA S&P500,2380650000000.0,99630000000.0,387540000000.0,3.6,3.12,0.92,0.6,154000.0,Yes,Yes,1.9,25.42,23.88,2.68,6.14,42.73,49.36,25.65,0.8,0.9,2.06,1.63,-6.18,6.05,6.44,1.26,71.4,5.55,,22.0,11.1,1.9,-7.7,Jul 28 Ae6C,-3.02,0.07,-2.59,59.9,-0.46,28.1,153.0,50.0,43.3,30.5,25.7,14.6,-4.47,16160000000.0,16060000000.0,0.7,1.52,181.77,129.04 - 182.94,-15.91,19.22,41.14,1.64,74410000.0,121991587.0,-0.45,-10.61,16.65,2.14,2.87,-13.36,1.23,4.19,2.83 2.19,163.43,153.84,-5.87
ABBV,AbbVie Inc.,Healthcare ,S&P 500,243520000000.0,12570000000.0,57350000000.0,8.28,5.67,5.64,4.07,50000.0,Yes,Yes,2.2,19.59,11.62,,4.25,16.73,24.45,19.4,0.7,0.8,4.98,4.16,-0.46,7.07,11.93,3.6,137.0,-14.04,,12.2,17.0,4.5,21.9,Jul 29 e9e6O,-3.85,0.11,-26.18,72.2,1.96,8.6,83.9,17.9,70.7,30.3,21.9,76.4,-4.34,1770000000.0,1770000000.0,0.64,2.06,158.85,105.56 - 175.91,-21.25,31.23,45.71,1.12,5520000.0,6166435.0,0.68,-2.85,-0.64,-8.92,28.89,2.31,0.69,2.76,2.13 1.88,142.24,138.53,-2.61
ABC,AmerisourceBergen Corporation,Healthcare ,S&P 500,29130000000.0,1840000000.0,236330000000.0,1.07,14.68,1.84,1.31,38000.0,Yes,Yes,2.3,16.19,12.31,1.63,0.12,131.76,9.6,17.44,0.6,0.9,27.02,20.69,-5.0,8.71,11.45,2.57,144.4,4.08,,3.2,7.8,12.5,37.5,Aug 03 e9e6O,-2.8,0.1,-96.72,71.2,4.8,3.2,594.4,24.3,3.5,1.1,0.8,20.6,-1.88,208880000.0,153880000.0,2.91,4.24,173.83,113.68 - 167.19,-15.68,24.01,37.6,1.2,1060000.0,1268128.0,-3.45,-6.33,-0.38,-3.54,14.02,6.09,0.46,3.26,2.10 2.04,147.71,140.98,-4.56
ABNB,"Airbnb, Inc.",Consumer Cyclical ,,76910000000.0,1250000000.0,7380000000.0,8.22,15.64,,,6132.0,Yes,Yes,2.5,66.27,47.85,1.44,10.42,14.79,7.77,27.72,1.6,1.6,0.0,0.38,3.95,1.83,2.54,1.44,92.4,17.87,,-7.3,29.3,57.6,597.0,Aug 02 Ae6C,10.21,3.3,-18.15,65.6,5.65,7.9,26.0,0.0,68.8,17.5,16.9,0.0,-12.89,638410000.0,384110000.0,4.31,2.43,142.45,86.71 - 212.58,-42.83,40.17,59.4,1.04,6810000.0,7086670.0,6.9,-2.39,22.85,-12.25,-24.19,-27.0,,4.55,3.60 3.49,124.79,121.54,-2.6
ABST,Absolute Software Corporation,Technology ,,727290000.0,-31900000.0,257000000.0,0.08,1.22,0.32,3.0,740.0,Yes,Yes,2.0,,,,2.83,133.12,8.72,22.11,0.8,0.8,85.95,84.19,-3.04,-0.63,-0.02,-0.1,-750.1,235.3,-,-30.9,16.7,65.1,-65.6,Aug 23 Ae6C,6.84,0.61,0.0,76.63,,-4.5,-225.7,-1.2,81.4,-3.6,-12.4,,19.84,51060000.0,50800000.0,2.26,16.77,15.0,6.79 - 12.41,-14.18,56.85,49.72,1.2,68470.0,82239.0,2.31,-1.75,27.39,36.02,-7.47,13.18,0.74,0.51,3.92 4.63,10.98,10.65,-3.01
ACCD,"Accolade, Inc.",Healthcare ,,802650000.0,-417200000.0,336000000.0,12.73,,,,2350.0,Yes,Yes,2.1,,,,2.39,0.95,,,3.7,3.7,0.33,0.33,8.08,-6.08,-2.02,-0.72,-11.9,69.2,,,,58.4,-178.1,Jun 30 Ae6C,14.85,0.9,1.57,81.9,1.37,-7.9,-13.3,-10.6,46.2,-30.0,-27.8,,-15.57,71210000.0,68040000.0,6.29,4.43,11.83,4.61 - 48.35,-74.95,162.69,60.1,0.85,966860.0,821488.0,24.85,-6.2,122.0,-6.27,-74.36,-54.06,,0.84,7.34 7.04,12.29,12.11,-1.46
ACHR,Archer Aviation Inc.,Industrials ,,802890000.0,-350900000.0,,2.61,2.62,,,209.0,Yes,Yes,2.2,,,,,1.23,1.23,,15.3,15.3,0.02,0.01,-13.4,-1.48,-1.16,-0.28,-742.7,-36.6,-,,,,43.8,Aug 10 Ae6C,-12.72,16.2,-7.11,42.2,32.62,-46.7,-51.9,,,,,,-22.82,236460000.0,128420000.0,8.88,4.77,8.83,2.61 - 10.53,-69.53,22.99,34.65,0.6,2390000.0,1432911.0,-7.76,-33.68,-19.55,10.31,-66.46,-46.85,,0.25,5.32 5.92,3.38,3.21,-5.03
ACIW,"ACI Worldwide, Inc.",Technology ,,2520000000.0,152100000.0,1450000000.0,10.54,1.07,,,3610.0,Yes,Yes,1.5,17.56,14.18,1.46,1.74,2.15,21.14,15.36,1.2,1.2,0.9,0.85,-5.7,1.29,1.6,0.08,75.0,18.34,,-0.2,6.4,12.8,112.0,Aug 04 e9e6O,-12.14,1.1,0.08,98.9,-0.75,4.8,12.5,7.0,54.0,16.8,10.5,0.0,-22.76,114670000.0,112820000.0,2.84,4.66,36.83,21.51 - 36.01,-36.99,5.49,37.36,1.71,687300.0,1177072.0,3.8,-13.16,-12.73,-27.97,-29.71,-34.61,1.1,0.81,2.98 2.81,23.4,22.69,-3.03
