,Ticker,Death MACD,Golden MACD
136,CISO,2022-08-30,2022-09-16
652,VRTX,2022-09-13,2022-09-16
375,MASI,2022-08-22,2022-09-16
47,APPF,2022-08-19,2022-09-16
194,DLTR,2022-08-22,2022-09-16
427,NFLX,2022-08-19,2022-09-16
324,IRM,2022-09-15,2022-09-16
313,IMXI,2022-08-11,2022-09-16
176,CVS,2022-08-22,2022-09-16
245,FICO,2022-08-19,2022-09-16
118,CDNA,2022-09-16,2022-09-15
361,LNG,2022-08-30,2022-09-15
301,HST,2022-09-16,2022-09-15
568,SOL,2022-08-17,2022-09-15
79,BB,2022-09-16,2022-09-15
506,PTON,2022-08-25,2022-09-15
636,VCYT,2022-09-16,2022-09-15
643,VLD,2022-08-22,2022-09-15
9,ACIW,2022-08-05,2022-09-15
329,JAMF,2022-08-22,2022-09-15
467,PACB,2022-09-16,2022-09-15
585,SURF,2022-09-16,2022-09-15
256,FROG,2022-09-16,2022-09-15
582,STNE,2022-08-19,2022-09-15
225,ESTE,2022-09-16,2022-09-15
438,NRIX,2022-09-16,2022-09-15
227,ETSY,2022-09-16,2022-09-15
81,BEAM,2022-09-13,2022-09-15
364,LPLA,2022-09-16,2022-09-15
521,REE,2022-08-29,2022-09-14
104,BOX,2022-08-19,2022-09-14
45,APA,2022-09-07,2022-09-14
148,COP,2022-09-16,2022-09-14
502,PSNL,2022-08-19,2022-09-14
607,TRGP,2022-09-16,2022-09-14
408,MRVL,2022-09-15,2022-09-14
355,LHX,2022-09-15,2022-09-14
192,DKNG,2022-08-22,2022-09-14
94,BKR,2022-09-15,2022-09-14
174,CVE,2022-09-06,2022-09-14
405,MRK,2022-08-29,2022-09-14
35,AMPH,2022-08-04,2022-09-14
77,AZRE,2022-08-19,2022-09-14
646,VNOM,2022-08-31,2022-09-14
239,FANG,2022-09-15,2022-09-14
250,FMC,2022-09-15,2022-09-14
157,CRM,2022-09-16,2022-09-14
675,XPEV,2022-08-18,2022-09-14
672,XM,2022-09-15,2022-09-14
253,FOUR,2022-08-22,2022-09-14
170,CTRA,2022-09-16,2022-09-14
283,GTLB,2022-08-18,2022-09-14
219,EOG,2022-09-16,2022-09-14
294,HLT,2022-09-16,2022-09-14
37,AMPS,2022-08-29,2022-09-14
292,HES,2022-09-16,2022-09-14
293,HLGN,2022-09-15,2022-09-14
216,ENPH,2022-09-13,2022-09-14
193,DLB,2022-09-15,2022-09-13
154,CPT,2022-09-14,2022-09-13
127,CGEN,2022-07-15,2022-09-13
140,CLGN,2022-08-23,2022-09-13
346,KRNT,2022-09-16,2022-09-13
213,EGLE,2022-08-18,2022-09-13
197,DOMO,2022-08-18,2022-09-13
228,ETWO,2022-08-23,2022-09-13
390,MKFG,2022-09-16,2022-09-13
363,LOGI,2022-08-18,2022-09-13
533,RPD,2022-09-15,2022-09-13
569,SPLK,2022-08-17,2022-09-13
383,MELI,2022-08-18,2022-09-12
419,MYPS,2022-08-24,2022-09-12
152,CPE,2022-09-16,2022-09-12
400,MODN,2022-08-24,2022-09-12
407,MRO,2022-09-07,2022-09-12
146,CNXC,2022-09-13,2022-09-12
145,CNP,2022-09-15,2022-09-12
142,CMS,2022-09-13,2022-09-12
420,NABL,2022-08-22,2022-09-12
422,NCR,2022-09-13,2022-09-12
430,NIO,2022-09-01,2022-09-12
432,NLOK,2022-09-13,2022-09-12
441,NTCT,2022-08-09,2022-09-12
131,CHKP,2022-09-16,2022-09-12
442,NTES,2022-09-14,2022-09-12
160,CRSP,2022-07-22,2022-09-12
340,KIND,2022-08-29,2022-09-12
164,CSGS,2022-09-13,2022-09-12
278,GPK,2022-09-13,2022-09-12
308,ICLR,2022-09-14,2022-09-12
208,ED,2022-09-13,2022-09-12
295,HOLX,2022-09-16,2022-09-12
211,EEFT,2022-09-15,2022-09-12
287,HAS,2022-09-15,2022-09-12
282,GRMN,2022-09-16,2022-09-12
274,GNK,2022-08-08,2022-09-12
200,DTE,2022-09-13,2022-09-12
261,FVRR,2022-09-14,2022-09-12
257,FRSH,2022-08-19,2022-09-12
252,FORG,2022-08-12,2022-09-12
235,EXLS,2022-09-15,2022-09-12
247,FISV,2022-09-15,2022-09-12
237,EXPE,2022-08-23,2022-09-12
204,EA,2022-09-15,2022-09-12
319,INVZ,2022-08-19,2022-09-12
374,MARA,2022-09-15,2022-09-12
180,CYBR,2022-08-29,2022-09-12
373,MAR,2022-09-16,2022-09-12
171,CTSH,2022-09-14,2022-09-12
357,LIN,2022-08-22,2022-09-12
353,LCID,2022-07-26,2022-09-12
178,CWAN,2022-08-24,2022-09-12
179,CXM,2022-09-14,2022-09-12
183,DBX,2022-09-16,2022-09-12
196,DOCU,2022-08-19,2022-09-12
124,CERS,2022-08-05,2022-09-12
337,KD,2022-09-15,2022-09-12
335,JNPR,2022-09-13,2022-09-12
332,JKHY,2022-09-13,2022-09-12
326,ISRG,2022-09-16,2022-09-12
322,IOVA,2022-08-19,2022-09-12
450,NVTA,2022-09-16,2022-09-12
689,ZY,2022-08-18,2022-09-12
576,SQ,2022-09-16,2022-09-12
584,SUMO,2022-09-13,2022-09-12
43,ANSS,2022-09-13,2022-09-12
611,TSLA,2022-08-18,2022-09-12
48,APPN,2022-08-17,2022-09-12
52,ARCT,2022-08-18,2022-09-12
53,ARQQ,2022-09-07,2022-09-12
598,TDY,2022-09-16,2022-09-12
596,TDC,2022-08-05,2022-09-12
60,ATKR,2022-09-13,2022-09-12
578,SSNC,2022-09-13,2022-09-12
549,SEE,2022-09-13,2022-09-12
463,ORLY,2022-09-13,2022-09-12
65,AVAV,2022-09-16,2022-09-12
67,AVID,2022-09-15,2022-09-12
570,SPNS,2022-09-15,2022-09-12
73,AYX,2022-09-16,2022-09-12
76,AZPN,2022-08-24,2022-09-12
560,SLB,2022-09-02,2022-09-12
557,SITM,2022-08-05,2022-09-12
616,TTWO,2022-08-23,2022-09-12
621,TWST,2022-09-13,2022-09-12
623,TXG,2022-08-19,2022-09-12
633,URGN,2022-08-17,2022-09-12
688,ZUO,2022-08-22,2022-09-12
686,ZM,2022-08-17,2022-09-12
679,YOU,2022-09-16,2022-09-12
7,ACCD,2022-08-19,2022-09-12
676,XRAY,2022-08-19,2022-09-12
671,XEL,2022-09-13,2022-09-12
670,WU,2022-09-15,2022-09-12
664,WK,2022-09-16,2022-09-12
663,WIX,2022-08-22,2022-09-12
658,WDAY,2022-09-13,2022-09-12
19,AEP,2022-09-13,2022-09-12
656,WBA,2022-09-13,2022-09-12
654,VTRS,2022-09-13,2022-09-12
653,VST,2022-08-19,2022-09-12
649,VRRM,2022-08-19,2022-09-12
30,ALRM,2022-09-15,2022-09-12
635,V,2022-09-13,2022-09-12
556,SIRI,2022-09-13,2022-09-12
