,Company,Sector,Index,Market Cap,Income,Sales,Book/sh,Cash/sh,Dividend,Dividend % %,Employees,Optionable,Shortable,Recom,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,SMA20 %,EPS (ttm),EPS next Y,EPS next Q,EPS this Y %,EPS next Y %,EPS next 5Y,EPS past 5Y %,Sales past 5Y %,Sales Q/Q %,EPS Q/Q %,Earnings,SMA50 %,Insider Own %,Insider Trans %,Inst Own %,Inst Trans %,ROA %,ROE %,ROI %,Gross Margin %,Oper. Margin %,Profit Margin %,Payout %,SMA200 %,Shs Outstand,Shs Float,Short Float %,Short Ratio,Target Price,52W Range,52W High %,52W Low %,RSI (14),Rel Volume,Avg Volume,Volume,Perf Week %,Perf Month %,Perf Quarter %,Perf Half Y %,Perf Year %,Perf YTD %,Beta,ATR,Volatility %,Prev Close,Price,Change %
AA,Alcoa Corporation,Basic Materials | Aluminum | USA,-,8650000000.0,963000000.0,13390000000.0,31.13,9.33,0.4,0.81,12200.0,Yes,Yes,2.1,9.72,6.92,-,0.65,1.58,5.28,7.75,1.0,1.8,0.3,0.3,-5.61,5.07,7.12,0.76,347.0,-1.4,-,24.8,5.5,28.6,81.5,Jul 20 Ae6C,1.66,0.2,0.0,86.2,-1.11,6.3,20.5,5.0,27.9,12.7,7.2,5.7,-19.89,182000000.0,173820000.0,4.5,1.33,58.22,39.56 - 98.09,-49.79,24.48,45.41,0.67,5870000.0,3947643.0,-11.8,2.93,-20.35,-45.68,4.99,-17.34,2.32,2.67,5.04 4.58,48.08,49.25,2.43
AAL,American Airlines Group Inc.,Industrials | Airlines | USA,S&P 500,8400000000.0,-1922000000.0,40720000000.0,-12.95,19.36,-,,123400.0,Yes,Yes,3.0,-,9.06,-,0.21,-,0.67,-,0.7,0.8,-,-,-9.46,-3.04,1.43,0.28,83.1,197.9,,-21.7,-5.7,79.5,2405.3,Jul 21 e9e6O,-7.99,0.6,-0.33,54.5,-2.66,-2.8,23.9,-1.6,57.7,-2.2,-4.7,,-21.04,650350000.0,642140000.0,11.34,2.2,16.72,11.93 - 22.35,-41.88,8.89,36.66,0.81,33070000.0,26842535.0,-5.46,-12.58,-19.91,-10.97,-34.26,-27.67,1.51,0.53,3.47 3.15,12.93,12.99,0.46
AAPL,Apple Inc.,Technology | Consumer Electronics | USA,DJIA S&P500,2538540000000.0,99630000000.0,387540000000.0,3.6,2.96,0.92,0.59,154000.0,Yes,Yes,1.9,25.75,24.14,2.72,6.55,43.28,52.63,27.35,0.8,0.9,2.06,1.63,-6.78,6.05,6.46,1.26,71.4,5.84,,22.0,11.1,1.9,-7.7,Jul 28 Ae6C,-0.44,0.07,-2.51,59.9,-0.44,28.1,153.0,50.0,43.3,30.5,25.7,14.6,-3.26,16160000000.0,16060000000.0,0.72,1.57,184.01,129.04 - 182.94,-14.83,20.75,37.83,1.05,73550000.0,76899282.0,-4.77,-6.03,7.17,-4.51,1.41,-12.25,1.24,3.75,2.62 1.90,157.96,155.81,-1.36
ABBV,AbbVie Inc.,Healthcare | Drug Manufacturers - General | USA,S&P 500,244790000000.0,12570000000.0,57350000000.0,8.28,5.55,5.64,4.14,50000.0,Yes,Yes,2.2,19.28,11.43,-,4.27,16.46,24.58,19.5,0.7,0.8,4.98,4.16,-2.34,7.07,11.93,3.6,137.0,-14.04,,12.2,17.0,4.5,21.9,Jul 29 e9e6O,-6.43,0.11,-26.26,72.2,1.92,8.6,83.9,17.9,70.7,30.3,21.9,76.4,-5.46,1770000000.0,1770000000.0,0.74,2.33,158.14,105.56 - 175.91,-22.53,29.1,38.9,0.64,5590000.0,3598614.0,-0.05,-1.9,-7.4,-9.48,21.66,0.65,0.68,2.93,2.00 1.79,138.45,136.28,-1.57
ABC,AmerisourceBergen Corporation,Healthcare | Medical Distribution | USA,S&P 500,30590000000.0,1840000000.0,236330000000.0,1.07,14.65,1.84,1.25,38000.0,Yes,Yes,2.3,16.96,12.87,1.67,0.13,138.05,10.08,18.31,0.6,0.9,27.02,20.69,-0.02,8.71,11.47,2.57,144.4,4.29,,3.2,7.8,12.5,37.5,Aug 03 e9e6O,2.03,0.1,-96.73,71.2,4.78,3.2,594.4,24.3,3.5,1.1,0.8,20.6,3.33,208880000.0,153880000.0,2.71,3.88,172.0,113.68 - 167.19,-11.65,29.93,51.94,0.65,1080000.0,695168.0,1.04,6.06,0.46,0.28,18.19,11.15,0.46,3.19,2.02 2.03,147.61,147.71,0.07
ABNB,"Airbnb, Inc.",Consumer Cyclical | Travel Services | USA,-,72520000000.0,1250000000.0,7380000000.0,8.22,15.51,-,,6132.0,Yes,Yes,2.5,61.96,45.18,1.35,9.82,13.82,7.33,26.14,1.6,1.6,0.0,0.38,-2.88,1.83,2.52,1.45,92.4,16.11,,-7.3,29.3,57.6,597.0,Aug 02 Ae6C,5.51,3.3,-18.53,65.5,5.58,7.9,26.0,0.0,68.8,17.5,16.9,0.0,-19.86,638410000.0,384110000.0,4.65,2.64,141.87,86.71 - 212.58,-46.54,31.06,49.72,0.61,6770000.0,4098598.0,0.73,-4.68,-5.17,-20.36,-27.71,-31.74,-,4.69,4.17 3.48,113.4,113.64,0.21
ABST,Absolute Software Corporation,Technology | Software - Application | Canada,-,727750000.0,-32200000.0,259500000.0,0.08,1.26,0.32,2.94,740.0,Yes,Yes,2.0,-,-,-,2.8,135.87,8.64,21.85,0.8,0.8,86.79,85.0,0.6,-0.64,-0.02,-0.1,-750.1,433.3,-,-30.9,16.7,65.1,-65.6,Aug 23 Ae6C,12.07,0.61,0.0,76.63,,-4.5,-225.7,-1.2,81.4,-3.6,-12.4,,22.92,51060000.0,50800000.0,2.26,18.36,14.6,6.79 - 12.62,-13.87,60.09,53.83,5.02,62550.0,314054.0,-9.87,11.15,15.27,25.37,-12.55,15.52,0.74,0.52,6.09 4.54,10.88,10.87,-0.09
ACCD,"Accolade, Inc.",Healthcare | Health Information Services | USA,-,744060000.0,-417200000.0,336000000.0,12.73,-,-,,2350.0,Yes,Yes,2.1,-,-,-,2.21,0.79,-,-,3.7,3.7,0.33,0.33,-12.65,-6.08,-2.02,-0.61,-11.9,69.2,,,,58.4,-178.1,Jun 30 Ae6C,-1.51,0.8,1.66,81.9,1.19,-7.9,-13.3,-10.6,46.2,-30.0,-27.8,,-32.84,67240000.0,61470000.0,6.7,3.98,11.58,4.61 - 49.47,-79.7,117.79,42.96,0.57,1040000.0,587144.0,-7.12,-12.47,61.41,-32.84,-79.29,-61.91,-,0.84,7.82 7.46,10.45,10.04,-3.92
ACHR,Archer Aviation Inc.,Industrials | Aerospace & Defense | USA,-,835700000.0,-350900000.0,-,2.61,2.63,-,,209.0,Yes,Yes,2.2,-,-,-,-,1.29,1.28,-,15.3,15.3,0.02,0.01,-16.46,-1.48,-1.27,-0.28,-742.7,-36.6,-,,,,43.8,Aug 10 Ae6C,-9.09,16.2,-5.08,42.1,32.9,-46.7,-51.9,,,,,,-20.65,236460000.0,128420000.0,9.2,4.7,9.08,2.61 - 10.53,-68.11,28.74,36.61,0.37,2510000.0,926752.0,-6.15,-26.15,-30.0,16.67,-66.33,-44.37,-,0.27,5.22 6.72,3.46,3.36,-2.89
ACIW,"ACI Worldwide, Inc.",Technology | Software - Infrastructure | USA,-,2650000000.0,152100000.0,1450000000.0,10.54,1.02,-,,3610.0,Yes,Yes,1.5,17.53,14.16,1.46,1.83,2.15,22.29,16.2,1.2,1.2,0.9,0.85,-9.98,1.29,1.6,0.08,75.0,18.34,,-0.2,6.4,12.8,112.0,Aug 04 e9e6O,-13.9,1.1,0.0,98.8,-0.78,4.8,12.5,7.0,54.0,16.8,10.5,0.0,-23.72,114670000.0,112820000.0,3.07,5.2,36.83,22.94 - 36.01,-37.1,-1.26,26.78,1.19,665680.0,792459.0,-6.09,-16.7,-17.73,-29.42,-31.16,-34.73,1.1,0.78,3.02 2.74,23.26,22.65,-2.62
ACLS,"Axcelis Technologies, Inc.",Technology | Semiconductor Equipment & Materials | USA,-,2100000000.0,149100000.0,807200000.0,17.73,8.67,-,,1122.0,Yes,Yes,1.8,14.41,12.63,0.72,2.6,3.58,7.31,16.96,3.1,4.4,0.08,0.08,-12.23,4.4,5.02,1.13,96.6,6.47,,51.9,19.9,50.2,138.9,Aug 03 Ae6C,-2.01,2.6,-8.07,87.3,2.4,19.5,27.1,18.0,44.0,23.1,18.5,0.0,-1.17,33100000.0,32400000.0,3.32,2.28,91.17,45.14 - 83.74,-24.3,40.43,42.28,0.77,471280.0,363085.0,-12.31,-19.32,2.26,2.86,27.19,-14.98,1.69,4.68,5.73 6.41,63.55,63.39,-0.25
