,Company,Sector,Index,Market Cap,Income,Sales,Book/sh,Cash/sh,Dividend,Dividend % %,Employees,Optionable,Shortable,Recom,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,SMA20 %,EPS (ttm),EPS next Y,EPS next Q,EPS this Y %,EPS next Y %,EPS next 5Y,EPS past 5Y %,Sales past 5Y %,Sales Q/Q %,EPS Q/Q %,Earnings,SMA50 %,Insider Own %,Insider Trans %,Inst Own %,Inst Trans %,ROA %,ROE %,ROI %,Gross Margin %,Oper. Margin %,Profit Margin %,Payout %,SMA200 %,Shs Outstand,Shs Float,Short Float %,Short Ratio,Target Price,52W Range,52W High %,52W Low %,RSI (14),Rel Volume,Avg Volume,Volume,Perf Week %,Perf Month %,Perf Quarter %,Perf Half Y %,Perf Year %,Perf YTD %,Beta,ATR,Volatility %,Prev Close,Price,Change %
AA,Alcoa Corporation,Basic Materials | Aluminum | USA,,9240000000.0,963000000.0,13390000000.0,31.13,9.33,0.4,0.76,12200.0,Yes,Yes,2.1,10.38,7.39,,0.69,1.69,5.64,8.28,1.0,1.8,0.3,0.3,1.61,5.07,7.12,0.76,347.0,-1.4,-,24.8,5.5,28.6,81.5,Jul 20 Ae6C,8.66,0.2,0.0,86.2,-1.11,6.3,20.5,5.0,27.9,12.7,7.2,5.7,-14.43,182000000.0,173820000.0,4.5,1.31,58.22,39.56 - 98.09,-46.36,33.0,54.72,1.22,5970000.0,7252553.0,9.44,-0.62,-5.29,-36.56,10.76,-11.68,2.32,2.7,4.59 4.56,48.86,52.62,7.7
AAL,American Airlines Group Inc.,Industrials | Airlines | USA,S&P 500,9180000000.0,-1922000000.0,40720000000.0,-12.95,19.36,,,123400.0,Yes,Yes,3.0,,9.9,,0.23,,0.73,,0.7,0.8,,,0.8,-3.04,1.43,0.28,83.1,197.9,,-21.7,-5.7,79.5,2405.3,Jul 21 e9e6O,0.49,0.6,-0.33,54.5,-2.66,-2.8,23.9,-1.6,57.7,-2.2,-4.7,,-13.11,650350000.0,642140000.0,11.34,2.21,16.72,11.93 - 22.35,-36.51,18.94,52.81,0.72,33010000.0,23867551.0,9.74,-5.84,-8.27,-0.07,-29.75,-20.99,1.51,0.51,3.82 3.30,13.96,14.19,1.65
AAPL,Apple Inc.,Technology | Consumer Electronics | USA,DJIA S&P500,2563950000000.0,99630000000.0,387540000000.0,3.6,2.96,0.92,0.58,154000.0,Yes,Yes,1.9,26.0,24.38,2.74,6.62,43.71,53.16,27.63,0.8,0.9,2.06,1.63,-4.6,6.05,6.46,1.26,71.4,5.84,,22.0,11.1,1.9,-7.7,Jul 28 Ae6C,-0.23,0.07,-2.51,59.9,-0.44,28.1,153.0,50.0,43.3,30.5,25.7,14.6,-2.29,16160000000.0,16060000000.0,0.72,1.55,184.01,129.04 - 182.94,-13.98,21.95,43.75,0.92,74220000.0,67915442.0,-0.37,-7.01,10.33,-0.73,2.14,-11.38,1.24,3.58,2.42 1.98,154.46,157.37,1.88
ABBV,AbbVie Inc.,Healthcare | Drug Manufacturers - General | USA,S&P 500,254030000000.0,12570000000.0,57350000000.0,8.28,5.55,5.64,3.99,50000.0,Yes,Yes,2.2,20.0,11.86,,4.43,17.08,25.5,20.24,0.7,0.8,4.98,4.16,1.58,7.07,11.93,3.6,137.0,-14.04,,12.2,17.0,4.5,21.9,Jul 29 e9e6O,-2.17,0.11,-26.26,72.2,1.92,8.6,83.9,17.9,70.7,30.3,21.9,76.4,-2.18,1770000000.0,1770000000.0,0.74,2.35,158.14,105.56 - 175.91,-19.61,33.97,53.37,0.8,5550000.0,4422832.0,2.15,0.34,-2.76,-5.2,31.84,4.45,0.68,2.62,2.10 1.84,140.52,141.42,0.64
ABC,AmerisourceBergen Corporation,Healthcare | Medical Distribution | USA,S&P 500,30500000000.0,1840000000.0,236330000000.0,1.07,14.65,1.84,1.25,38000.0,Yes,Yes,2.3,16.91,12.84,1.67,0.13,137.64,10.05,18.26,0.6,0.9,27.02,20.69,-0.89,8.71,11.47,2.57,144.4,4.29,,3.2,7.8,12.5,37.5,Aug 03 e9e6O,1.68,0.1,-96.73,71.2,4.78,3.2,594.4,24.3,3.5,1.1,0.8,20.6,2.68,208880000.0,153880000.0,2.71,3.93,172.0,113.68 - 167.19,-11.91,29.55,50.78,0.8,1060000.0,854202.0,-0.23,1.16,2.3,0.75,19.15,10.82,0.46,3.12,1.82 1.99,147.54,147.27,-0.18
ABNB,"Airbnb, Inc.",Consumer Cyclical | Travel Services | USA,,78800000000.0,1250000000.0,7380000000.0,8.22,15.51,,,6132.0,Yes,Yes,2.5,67.33,49.1,1.47,10.67,15.02,7.96,28.4,1.6,1.6,0.0,0.38,5.72,1.83,2.52,1.45,92.4,16.11,,-7.3,29.3,57.6,597.0,Aug 02 Ae6C,13.31,3.3,-18.54,65.5,5.58,7.9,26.0,0.0,68.8,17.5,16.9,0.0,-11.85,638410000.0,384110000.0,4.65,2.62,141.87,86.71 - 212.58,-41.91,42.41,64.74,0.79,6810000.0,5399224.0,8.89,4.0,6.71,-18.66,-25.61,-25.83,,4.68,3.70 3.55,118.58,123.48,4.13
ABST,Absolute Software Corporation,Technology | Software - Application | Canada,,755870000.0,-32200000.0,259500000.0,0.08,1.26,0.32,2.83,740.0,Yes,Yes,2.0,,,,2.91,141.12,8.98,22.7,0.8,0.8,86.79,85.0,3.24,-0.64,-0.02,-0.1,-750.1,433.3,-,-30.9,16.7,65.1,-65.6,Aug 23 Ae6C,14.4,0.61,0.0,76.63,,-4.5,-225.7,-1.2,81.4,-3.6,-12.4,,27.34,51060000.0,50800000.0,2.26,16.61,14.6,6.79 - 12.41,-9.02,66.27,57.94,0.72,69120.0,49873.0,3.77,10.36,22.72,29.03,-3.91,19.98,0.74,0.5,4.20 4.53,10.94,11.29,3.2
ACCD,"Accolade, Inc.",Healthcare | Health Information Services | USA,,847820000.0,-417200000.0,336000000.0,12.73,,,,2350.0,Yes,Yes,2.1,,,,2.52,0.9,,,3.7,3.7,0.33,0.33,1.69,-6.08,-2.02,-0.61,-11.9,69.2,,,,58.4,-178.1,Jun 30 Ae6C,10.23,0.8,1.66,81.9,1.19,-7.9,-13.3,-10.6,46.2,-30.0,-27.8,,-21.15,67240000.0,61470000.0,6.7,4.14,11.58,4.61 - 49.13,-76.71,148.16,56.08,0.46,995040.0,453752.0,9.47,-4.51,76.27,-27.27,-76.06,-56.6,,0.83,7.20 7.11,11.21,11.44,2.05
ACHR,Archer Aviation Inc.,Industrials | Aerospace & Defense | USA,,870520000.0,-350900000.0,,2.61,2.63,,,209.0,Yes,Yes,2.2,,,,,1.34,1.33,,15.3,15.3,0.02,0.01,-8.94,-1.48,-1.27,-0.28,-742.7,-36.6,-,,,,43.8,Aug 10 Ae6C,-4.38,16.2,-6.72,42.1,32.9,-46.7,-51.9,,,,,,-16.34,236460000.0,128420000.0,9.2,4.93,9.08,2.61 - 10.53,-66.78,34.1,42.16,0.58,2400000.0,1396296.0,1.16,-17.26,-14.22,5.74,-64.21,-42.05,,0.25,5.20 6.40,3.46,3.5,1.16
ACIW,"ACI Worldwide, Inc.",Technology | Software - Infrastructure | USA,,2660000000.0,152100000.0,1450000000.0,10.54,1.02,,,3610.0,Yes,Yes,1.5,17.61,14.22,1.47,1.84,2.16,22.39,16.27,1.2,1.2,0.9,0.85,-6.63,1.29,1.6,0.08,75.0,18.34,,-0.2,6.4,12.8,112.0,Aug 04 e9e6O,-12.29,1.1,0.08,98.8,-0.78,4.8,12.5,7.0,54.0,16.8,10.5,0.0,-22.79,114670000.0,112820000.0,3.07,5.13,36.83,21.51 - 36.01,-36.82,5.76,35.17,1.55,675110.0,1047146.0,-2.19,-13.92,-17.63,-29.22,-30.09,-34.44,1.1,0.8,3.58 2.76,21.95,22.75,3.64
ACLS,"Axcelis Technologies, Inc.",Technology | Semiconductor Equipment & Materials | USA,,2170000000.0,149100000.0,807200000.0,17.73,8.67,,,1122.0,Yes,Yes,1.8,14.92,13.07,0.75,2.69,3.7,7.57,17.55,3.1,4.4,0.08,0.08,-6.54,4.4,5.02,1.13,96.6,6.47,,51.9,19.9,50.2,138.9,Aug 03 Ae6C,0.63,2.6,-8.07,87.3,2.4,19.5,27.1,18.0,44.0,23.1,18.5,0.0,2.3,33100000.0,32400000.0,3.32,2.25,91.17,45.14 - 83.74,-21.65,45.35,46.62,0.74,477420.0,354088.0,3.24,-7.24,8.54,1.14,34.28,-12.0,1.69,4.22,3.90 5.92,64.19,65.61,2.21
