Ticker,Price,52-Week-Low,52-Week-High,20-MA,50-MA,100-MA,150-MA,200-MA,Sector,P/E,PEG,P/FCF,Sales Q/Q %,EPS this Y %,EPS next Y %,Death MACD,Golden MACD,MTUM-MA-25,MTUM-EMA-25,Weekly Death MACD,Weekly Golden MACD
RAMP,19.440000534057614,18.739999771118164,58.7400016784668,20.32050018310547,23.59280014038086,25.41800006866455,29.80473332722982,33.799899883270264,Technology ,,,24.26,19.5,63.6,0.77,2022-08-05,2022-09-08,78.86788952736646,85.2525658954907,2022-08-15,2022-09-16
CGEN,1.0,0.9900000095367432,7.480000019073486,1.1439999759197237,1.480999994277954,1.7132999920845031,2.146533328692118,2.6054999935626983,Healthcare ,,,,,-8.9,-0.51,2022-07-15,2022-09-13,68.5342071705949,76.87584264457189,2022-08-22,2022-09-16
LOGI,48.84000015258789,46.45000076293945,104.27999877929688,50.602499389648436,53.80779975891113,55.845899810791025,61.690799916585284,66.66310001373292,Technology ,14.8,1.64,29.11,-11.6,-31.4,4.18,2022-08-18,2022-09-13,93.8642318545654,94.22169380468617,2022-08-22,2022-09-16
PRO,22.559999465942386,18.09000015258789,42.52999877929688,21.69349975585937,24.086199913024906,25.779600009918212,27.562133356730147,28.656100034713745,Technology ,,,,9.6,-3.0,-0.5,2022-08-19,2022-09-09,89.18460597701969,90.38441126865679,2022-08-15,2022-09-16
PLTR,7.78000020980835,6.440000057220459,29.290000915527344,7.808000063896179,9.051400003433226,8.991600003242493,10.137000017166136,11.732649967670438,Technology ,,,63.51,25.9,58.6,0.19,2022-08-09,2022-09-12,82.90106128697056,89.96556342998554,2022-08-22,2022-09-16
PARA,22.729999542236328,21.31999969482422,42.16999816894531,23.57758274078369,24.351976623535155,26.202411136627198,28.72869723002116,29.37937045097351,Communication Services ,4.82,,,18.5,77.5,1.65,2022-08-23,2022-06-30,97.82511517791914,95.07298654097214,2022-09-12,2022-09-16
SURF,1.2200000286102295,1.2200000286102295,8.380000114440918,1.4170000076293945,1.6767999982833863,1.7866999936103818,2.1671999979019163,2.7648999989032745,Healthcare ,,,,,-214.0,-1.81,2022-09-16,2022-09-15,81.13898136366441,86.16902947217811,2022-09-12,2022-09-16
NEM,43.709999084472656,40.27000045776367,86.37000274658203,42.6424783706665,46.07168296813965,55.78003135681152,61.6869516245524,60.79652484893799,Basic Materials ,46.8,,52.91,-0.2,-58.1,2.44,2022-06-29,2022-08-08,88.3030473039274,87.30875887672266,2022-04-25,2022-09-16
NIU,4.980000019073486,4.880000114440918,30.10000038146973,5.637500047683716,6.274200048446655,7.202700033187866,8.264000008900961,10.139450011253356,Consumer Cyclical ,25.54,8.57,,-12.4,32.0,0.72,2022-08-29,2022-08-25,87.1971820690801,86.30901647251812,2022-09-12,2022-09-16
HZNP,62.65999984741211,57.84000015258789,120.54000091552734,61.76249980926514,70.3049998474121,79.34819976806641,87.62459971110027,90.29959968566895,Healthcare ,19.36,2.06,10.88,5.3,25.3,5.32,2022-08-03,2022-08-26,80.04498274544164,85.61268708767385,2022-08-01,2022-09-16
ARCT,15.56999969482422,11.699999809265135,58.09000015258789,15.401000022888185,17.164000034332275,17.236899976730346,19.56039993921916,22.955349926948546,Healthcare ,,,,1254.0,-117.8,-3.96,2022-08-18,2022-09-12,90.35207378129157,94.1082213940201,2022-08-22,2022-09-12
BIIB,208.25999450683602,187.16000366210938,332.8699951171875,203.26249923706055,210.45099945068358,206.43969970703125,207.52739939371742,213.46654960632324,Healthcare ,14.87,,11.67,-6.7,-58.1,15.71,2022-08-18,2022-09-09,96.2986758396999,98.45030134097328,2022-08-22,2022-09-12
OLO,7.869999885559082,7.1599998474121085,38.88000106811523,7.8944999933242785,9.781199970245359,10.144599962234498,11.198799985249837,13.35949996948242,Technology ,,,,27.0,-66.7,0.07,2022-08-12,2022-09-07,68.64157686429003,82.2844206192397,2022-08-15,2022-09-12
NIO,20.149999618530273,11.670000076293945,44.27000045776367,19.499000072479244,20.009599990844727,19.06650001525879,19.541800015767414,21.94079999923706,Consumer Cyclical ,,,,21.8,-41.7,-1.62,2022-09-01,2022-09-12,97.37785182478257,100.38411525653929,2022-08-29,2022-09-12
URGN,8.720000267028809,4.849999904632568,19.65999984741211,8.001999998092652,8.260799989700317,7.461100001335144,7.538400001525879,7.91305000782013,Healthcare ,,,,27.7,15.9,-2.88,2022-08-17,2022-09-12,95.94322397385193,103.22289561301235,2022-08-29,2022-09-12
SEDG,310.510009765625,200.8600006103516,389.7099914550781,296.05124816894534,302.6548974609375,284.1066484069824,289.4696990966797,283.7144747161865,Technology ,121.1,4.25,,-17.8,15.2,9.09,2022-08-08,2022-09-08,99.64726914306952,102.00949007298377,2022-08-22,2022-09-12
APPF,102.36000061035156,79.9229965209961,139.99000549316406,101.5075004577637,102.19060043334963,99.4710001373291,104.19566675821942,107.9265250778198,Technology ,,,202.1,32.0,-99.4,-0.52,2022-08-19,2022-09-16,102.8048229512146,101.37886461536543,2022-09-05,2022-09-12
APPN,47.43999862670898,38.77999877929688,115.38999938964844,46.60250015258789,49.45299995422364,49.05180004119873,51.58446670532226,54.18675004959106,Technology ,,,,32.7,-157.4,-0.61,2022-08-17,2022-09-12,94.3160251102691,96.47527179401578,2022-08-29,2022-09-12
LCID,16.180000305175778,13.25,57.75,15.850999879837037,17.792999858856202,17.93019986152649,20.014399878183998,24.41784993648529,Consumer Cyclical ,,,,18326.5,-572.8,-1.07,2022-07-26,2022-09-12,85.67547690947984,91.38440191256151,2022-08-22,2022-09-12
TWOU,7.5,6.679999828338622,37.16999816894531,7.522000026702881,8.878399982452393,9.34774998664856,10.013233331044516,12.1282000207901,Consumer Defensive ,,,3103.5,1.8,19.0,0.38,2022-07-14,2022-09-07,77.72066525534939,86.74377948114756,2022-08-15,2022-09-12
DCT,11.949999809265135,11.40999984741211,50.9000015258789,12.081999921798706,13.326599979400635,15.321300058364868,17.133999977111813,19.691949987411498,Technology ,,,3205.71,6.6,43.6,0.12,2022-08-22,2022-09-09,87.50765421991613,87.09587926132393,2022-08-22,2022-09-12
ABBV,144.05999755859375,105.55999755859376,175.91000366210938,139.01900177001954,143.01481323242191,145.61788925170902,148.09618103027344,143.51788715362548,Healthcare ,20.38,,20.07,4.5,137.0,11.9,2022-08-24,2022-09-06,95.34499093249686,96.99059904614072,2022-07-18,2022-09-12
