,Ticker,ETF
0,AA,MTUM
1,AAL,QQQJ
2,AAPL,"QQQ,PTF,MTUM"
3,ABBV,MTUM
4,ABC,MTUM
5,ABNB,QQQ
6,ABST,HACK
7,ACCD,ARKG
8,ACHR,"ARKQ,ARKX"
9,ACIW,XSW
10,ACLS,FFTY
11,ACN,XSW
12,ADBE,"QQQ,XSW"
13,ADI,QQQ
14,ADM,MTUM
15,ADP,"QQQ,XSW"
16,ADPT,ARKG
17,ADSK,"QQQ,XSW"
18,ADYEY,ARKW
19,AEE,MTUM
20,AEP,"QQQ,MTUM"
21,AFRM,"QQQJ,XSW"
22,AGYS,XSW
23,AI,XSW
24,AIR,ARKX
25,AIZ,MTUM
26,AJG,MTUM
27,AKAM,"QQQJ,HACK"
28,ALGN,QQQ
29,ALLT,"HACK,IZRL"
30,ALNY,QQQJ
31,ALRM,XSW
32,ALTR,XSW
33,AMAT,QQQ
34,AMD,"QQQ,PTF"
35,AMGN,QQQ
36,AMPL,XSW
37,AMPS,TAN
38,AMSWA,XSW
39,AMZN,"QQQ,ARKX"
40,ANET,"MTUM,FFTY"
41,ANSS,"QQQ,XSW,ARKQ,ARKX"
42,APA,MTUM
43,APP,"QQQJ,XSW"
44,APPF,XSW
45,APPN,XSW
46,APPS,XSW
47,ARCT,ARKG
48,ARQQ,HACK
49,ARRY,"TAN,PTF"
50,ASAN,XSW
51,ASML,QQQ
52,ATAI,ARKG
53,ATEN,"PTF,XSW,HACK"
54,ATO,MTUM
55,ATVI,"QQQ,PSJ,XSW"
56,AUDC,IZRL
57,AVAV,"ARKQ,ARKX"
58,AVGO,"QQQ,PTF,MTUM"
59,AVID,PTF
60,AVLR,XSW
61,AVPT,XSW
62,AVYA,XSW
63,AXNX,FFTY
64,AXON,QQQJ
65,AY,TAN
66,AYX,XSW
67,AZN,QQQ
68,AZO,MTUM
69,AZPN,XSW
70,AZRE,TAN
71,BAH,HACK
72,BB,HACK
73,BDC,PTF
74,BEAM,"ARKK,ARKG"
75,BFH,XSW
76,BFLY,ARKG
77,BG,MTUM
78,BGNE,QQQJ
79,BIDU,QQQ
80,BIIB,QQQ
81,BILI,QQQJ
82,BILL,"XSW,ARKF"
83,BKI,XSW
84,BKNG,QQQ
85,BKR,MTUM
86,BL,XSW
87,BLDE,"ARKQ,ARKX"
88,BLI,"ARKK,ARKG"
89,BLKB,XSW
90,BMBL,"PTF,PSJ"
91,BMRN,QQQJ
92,BMY,MTUM
93,BNTX,QQQJ
94,BOX,"PTF,PSJ,XSW"
95,BR,XSW
96,BRKR,QQQJ
97,BRP,FFTY
98,BSY,"QQQJ,XSW"
99,BTRS,XSW
100,BYDDY,ARKQ
101,CACI,HACK
102,CAMT,IZRL
103,CASS,XSW
104,CAT,ARKQ
105,CB,MTUM
106,CCCS,XSW
107,CCEP,QQQJ
108,CCRN,FFTY
109,CCSI,XSW
110,CDAY,XSW
111,CDNA,ARKG
112,CDNS,"QQQ,PTF,PSJ,XSW,FFTY"
113,CDW,"QQQJ,PTF"
114,CDXS,ARKG
115,CEG,QQQ
116,CELH,FFTY
117,CERS,"ARKK,ARKG"
118,CF,"MTUM,FFTY"
119,CFLT,XSW
120,CGEN,"ARKK,ARKG,IZRL"
121,CGNT,"HACK,IZRL"
122,CGNX,QQQJ
123,CHD,MTUM
124,CHKP,"QQQJ,PSJ,HACK,IZRL"
125,CHNG,PSJ
126,CHRW,"QQQJ,FFTY"
127,CHTR,QQQ
128,CISO,HACK
129,CIVI,FFTY
130,CLAR,FFTY
131,CLBT,IZRL
132,CLF,MTUM
133,CLFD,FFTY
134,CMC,FFTY
135,CMCSA,QQQ
136,CMS,MTUM
137,CNC,MTUM
138,CNDT,XSW
139,CNP,MTUM
140,CNQ,FFTY
141,CNXC,XSW
142,COIN,"ARKK,ARKF,ARKW"
143,COP,"MTUM,FFTY"
144,COST,"QQQ,MTUM"
145,COUP,"QQQJ,XSW"
146,CPB,MTUM
147,CPRT,QQQ
148,CPT,MTUM
149,CRGE,PSJ
150,CRK,FFTY
151,CRM,XSW
152,CRNC,XSW
153,CRNT,IZRL
154,CRSP,"ARKK,ARKG"
155,CRWD,"QQQ,XSW,ARKW,FFTY,HACK"
156,CSCO,"QQQ,HACK"
157,CSGP,QQQJ
158,CSGS,"PSJ,XSW"
159,CSIQ,TAN
160,CSX,QQQ
161,CTAS,QQQ
162,CTLP,XSW
163,CTRA,MTUM
164,CTSH,"QQQ,XSW"
165,CTVA,MTUM
166,CTXS,XSW
167,CVI,FFTY
168,CVLT,"XSW,HACK"
169,CVS,MTUM
170,CVX,MTUM
171,CWAN,XSW
172,CXM,XSW
173,CYBR,"HACK,IZRL"
174,CYXT,PTF
175,CZR,QQQJ
176,DBX,XSW
177,DCT,XSW
178,DDD,"ARKQ,ARKX"
179,DDOG,"QQQ,PSJ,XSW"
180,DE,"ARKQ,ARKX"
181,DG,MTUM
182,DISH,QQQJ
183,DK,FFTY
184,DKNG,"QQQJ,ARKK,ARKF,ARKW"
185,DLB,XSW
186,DLTR,"QQQ,MTUM"
187,DNA,"ARKK,ARKG"
188,DOCU,"QQQ,XSW"
189,DOMO,XSW
190,DQ,"TAN,FFTY"
191,DT,XSW
192,DTE,MTUM
