Tickers,Company,Sector,Index,Market Cap,Income,Sales,Book/sh,Cash/sh,Dividend,Dividend % %,Employees,Optionable,Shortable,Recom,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,SMA20 %,EPS (ttm),EPS next Y,EPS next Q,EPS this Y %,EPS next Y %,EPS next 5Y,EPS past 5Y %,Sales past 5Y %,Sales Q/Q %,EPS Q/Q %,Earnings,SMA50 %,Insider Own %,Insider Trans %,Inst Own %,Inst Trans %,ROA %,ROE %,ROI %,Gross Margin %,Oper. Margin %,Profit Margin %,Payout %,SMA200 %,Shs Outstand,Shs Float,Short Float %,Short Ratio,Target Price,52W Range,52W High %,52W Low %,RSI (14),Rel Volume,Avg Volume,Volume,Perf Week %,Perf Month %,Perf Quarter %,Perf Half Y %,Perf Year %,Perf YTD %,Beta,ATR,Volatility %,Prev Close,Price,Change %
AA,Alcoa Corporation,Basic Materials ,,6570000000.0,-120000000.0,13130000000.0,31.13,9.77,0.4,1.02,12200.0,Yes,Yes,2.3,,9.41,,0.5,1.26,4.01,12.14,1.0,1.8,0.3,0.3,2.74,-0.87,4.16,-0.39,347.0,-14.99,-,24.8,5.5,28.6,81.5,Oct 19 Ae6C,-12.22,0.2,0.0,86.5,0.45,4.7,15.4,5.0,23.8,10.6,5.5,5.2,-34.31,182000000.0,175310000.0,5.56,1.35,47.15,33.55 - 98.09,-60.07,16.75,46.98,1.08,7230000.0,7815145.0,-0.53,10.31,-16.64,-41.86,-20.47,-34.26,2.39,2.82,8.29 6.87,41.06,39.17,-4.6
AAL,American Airlines Group Inc.,Industrials ,S&P 500,9000000000.0,-1608000000.0,45210000000.0,-12.13,17.61,,,123400.0,Yes,Yes,3.0,,10.2,,0.2,,0.8,,0.7,0.8,,,10.57,-2.62,1.38,0.45,83.1,282.4,,-21.7,-5.7,50.1,165.8,Oct 20 e9e6O,4.86,0.6,-0.37,54.9,0.27,-2.4,19.7,-1.6,57.4,-1.2,-3.6,,-9.5,650590000.0,642100000.0,13.38,2.67,16.04,11.65 - 22.35,-36.91,21.02,59.94,1.02,32220000.0,32719678.0,6.82,15.48,4.99,-29.43,-26.37,-21.49,1.46,0.7,4.48 5.18,13.71,14.1,2.84
AAPL,Apple Inc.,Technology ,DJIA S&P500,2338500000000.0,99630000000.0,387540000000.0,3.6,3.08,0.92,0.62,154000.0,Yes,Yes,1.9,24.69,23.2,2.77,6.03,41.51,48.49,25.2,0.8,0.9,2.06,1.63,4.03,6.05,6.44,1.27,71.4,5.55,,22.0,11.1,1.9,-7.7,Oct 27 Ae6C,-3.02,0.07,-4.16,59.7,-0.05,28.1,153.0,50.0,43.3,30.5,25.7,14.6,-5.0,16160000000.0,16060000000.0,0.64,1.27,183.59,129.04 - 182.94,-18.31,15.82,54.43,0.93,81380000.0,75791676.0,4.94,-0.65,-1.42,-8.25,0.51,-15.84,1.25,4.75,3.12 3.13,147.27,149.45,1.48
ABBV,AbbVie Inc.,Healthcare ,S&P 500,259300000000.0,12570000000.0,57350000000.0,8.28,5.8,5.64,3.74,50000.0,Yes,Yes,2.2,21.34,12.74,,4.52,18.22,26.03,20.66,0.7,0.8,4.98,4.16,6.45,7.07,11.84,3.57,137.0,-14.57,,12.2,17.0,4.5,21.9,Oct 28 e9e6O,7.22,0.11,-25.11,70.9,-0.01,8.6,83.9,17.9,70.7,30.3,21.9,76.4,2.69,1770000000.0,1770000000.0,0.75,2.47,158.66,107.75 - 175.91,-14.22,40.04,65.46,0.96,5380000.0,5137022.0,4.49,5.47,0.01,-3.46,38.25,11.44,0.65,3.72,2.12 2.65,147.06,150.89,2.6
ABC,AmerisourceBergen Corporation,Healthcare ,S&P 500,30070000000.0,1840000000.0,236330000000.0,1.07,15.15,1.84,1.23,38000.0,Yes,Yes,2.1,17.23,13.12,1.73,0.13,140.28,9.91,17.99,0.6,0.9,27.02,20.69,7.06,8.71,11.44,2.57,144.4,3.97,,3.2,7.8,12.5,37.5,Nov 03 e9e6O,4.53,0.1,-96.67,70.6,-0.35,3.2,594.4,24.3,3.5,1.1,0.8,20.6,2.89,208880000.0,153870000.0,3.11,4.76,174.17,113.68 - 167.19,-10.22,32.04,64.89,1.17,1010000.0,1176876.0,5.42,9.4,3.37,-5.28,21.72,12.95,0.5,3.33,2.15 2.27,147.73,150.1,1.6
ABNB,"Airbnb, Inc.",Consumer Cyclical ,,72600000000.0,1250000000.0,7380000000.0,8.22,15.86,,,6132.0,Yes,Yes,2.5,63.46,45.24,1.38,9.83,14.16,7.34,26.17,1.6,1.6,0.0,0.38,4.86,1.83,2.57,1.45,92.4,17.11,,-7.3,29.3,57.6,597.0,Nov 01 Ae6C,1.56,3.3,-14.91,65.4,0.06,7.9,26.0,0.0,68.8,17.5,16.9,0.0,-11.22,638410000.0,384140000.0,4.99,3.37,139.9,86.71 - 212.58,-45.25,34.23,54.03,0.78,5690000.0,4443006.0,-0.09,14.39,14.21,-26.52,-30.15,-30.09,,5.72,4.37 4.61,119.95,116.39,-2.97
ABST,Absolute Software Corporation,Technology ,,798060000.0,-33700000.0,271600000.0,0.09,1.28,0.32,2.75,740.0,Yes,Yes,2.0,,,,2.94,129.11,9.06,22.87,0.8,0.8,86.68,84.91,2.09,-0.67,-0.02,-0.05,-750.1,235.3,-,-30.9,16.7,65.1,-65.6,Nov 08 Ae6C,4.64,0.6,0.0,73.4,,-4.5,-225.7,-1.2,81.4,-3.6,-12.4,,26.3,51060000.0,34390000.0,3.25,12.75,15.5,6.79 - 12.59,-7.67,71.13,57.27,1.0,87730.0,87846.0,4.4,8.7,28.54,43.63,2.38,23.49,0.65,0.48,4.39 4.41,11.6,11.62,0.17
ACCD,"Accolade, Inc.",Healthcare ,,740050000.0,-417200000.0,336000000.0,7.66,,,,2350.0,Yes,Yes,2.2,,,,2.2,1.42,,,4.0,4.0,0.53,0.53,-6.66,-6.08,-2.0,-0.62,-11.9,68.1,,,,43.7,-488.0,Oct 06 Ae6C,-6.46,0.8,1.15,80.8,-0.26,-10.3,-16.9,-10.6,46.2,-37.4,-36.6,,-12.45,69740000.0,68980000.0,6.82,7.16,13.93,4.61 - 40.96,-73.54,135.14,45.97,0.79,657740.0,517386.0,-2.52,-7.9,18.34,-15.51,-72.21,-58.88,,0.97,8.27 8.61,10.97,10.84,-1.19
ACHR,Archer Aviation Inc.,Industrials ,,640270000.0,-350900000.0,,2.61,2.79,,,209.0,Yes,Yes,2.2,,,,,1.05,0.98,,15.3,15.3,0.02,0.01,-0.42,-1.48,-1.21,-0.28,-742.7,-31.5,-,,,,43.8,Aug 10 Ae6C,-15.28,0.3,-86.28,43.0,-1.46,-46.7,-51.9,,,,,,-24.77,236460000.0,128180000.0,9.35,7.25,8.5,2.50 - 7.81,-65.04,9.2,42.89,0.39,1650000.0,649841.0,-3.87,-2.5,-16.77,-29.64,-59.31,-54.8,,0.19,6.69 6.96,2.76,2.73,-1.09
ACIW,"ACI Worldwide, Inc.",Technology ,,2520000000.0,152100000.0,1450000000.0,10.54,1.08,,,3610.0,Yes,Yes,1.5,17.69,14.36,1.47,1.74,2.17,21.21,15.41,1.2,1.2,0.9,0.85,5.57,1.29,1.59,0.07,75.0,19.7,,-0.2,6.4,12.8,112.0,Nov 02 e9e6O,0.55,0.4,0.22,98.8,0.17,4.8,12.5,7.0,54.0,16.8,10.5,0.0,-17.63,114670000.0,112840000.0,2.69,4.0,36.17,20.19 - 36.01,-36.52,13.22,58.25,0.73,759590.0,558041.0,2.88,10.01,-16.81,-19.51,-26.02,-34.12,1.1,0.69,3.19 3.07,22.51,22.86,1.55
ACLS,"Axcelis Technologies, Inc.",Technology ,,1760000000.0,149100000.0,807200000.0,17.73,9.05,,,1122.0,Yes,Yes,2.0,12.6,11.94,0.63,2.18,3.13,6.12,14.21,3.1,4.4,0.08,0.08,-5.06,4.4,4.64,1.13,96.6,-1.0,,51.9,19.9,50.2,138.9,Nov 02 Ae6C,-12.89,2.6,-6.2,86.9,-0.23,19.5,27.1,18.0,44.0,23.1,18.5,0.0,-12.05,33100000.0,32380000.0,3.5,2.32,85.4,46.41 - 83.74,-33.8,19.44,43.85,0.49,488940.0,241217.0,6.49,-3.33,-12.5,-1.88,12.46,-25.66,1.62,3.37,6.05 5.93,55.36,55.43,0.13
ACN,Accenture plc,Technology ,S&P 500,177730000000.0,6880000000.0,61590000000.0,34.97,12.23,4.48,1.63,721000.0,Yes,Yes,2.0,25.7,21.85,2.3,2.89,7.87,22.52,27.91,1.2,1.2,0.0,0.0,5.34,10.71,12.6,2.92,17.0,10.92,,14.5,11.2,14.9,18.4,Sep 22 e9e6O,-1.71,0.1,-5.2,73.6,-0.17,15.2,32.6,31.9,32.0,15.1,11.2,35.7,-9.38,664780000.0,663770000.0,0.83,2.71,315.36,242.95 - 417.37,-34.04,13.32,57.03,1.08,2030000.0,2199129.0,4.99,5.9,-3.46,-13.1,-22.18,-33.59,1.21,8.03,2.88 2.87,269.57,275.31,2.13
ADBE,Adobe Inc.,Technology ,S&P 500,145100000000.0,4810000000.0,17190000000.0,30.65,12.56,,,25988.0,Yes,Yes,2.2,31.18,20.67,2.36,8.44,10.32,25.17,20.35,1.1,1.1,0.29,0.25,9.26,10.14,15.3,3.5,-7.6,12.21,,34.0,21.9,12.7,-3.9,Sep 15 e9e6O,-7.14,0.43,-2.56,84.2,-0.02,18.1,33.8,26.0,87.8,35.4,28.0,0.0,-22.91,469000000.0,462910000.0,1.09,1.31,368.77,274.73 - 699.54,-54.8,15.1,56.46,1.24,3870000.0,4812417.0,7.74,11.13,-16.62,-23.61,-50.87,-44.24,1.24,10.9,3.92 3.36,306.37,316.22,3.22
ADI,"Analog Devices, Inc.",Technology ,S&P 500,72050000000.0,1890000000.0,11110000000.0,70.87,3.06,3.04,2.1,24700.0,Yes,Yes,1.9,40.02,15.03,2.73,6.49,2.04,47.25,32.52,1.4,1.9,0.17,0.17,1.06,3.61,9.62,2.58,5.6,1.65,,4.7,16.4,76.8,6.3,Aug 17 e9e6O,-4.6,0.92,-1.54,88.4,-0.12,3.7,5.1,3.4,58.6,18.6,17.0,79.7,-8.39,517010000.0,509600000.0,1.49,2.22,187.91,133.48 - 191.95,-24.7,8.28,49.17,0.97,3430000.0,3332073.0,3.89,1.84,-10.66,-9.05,-18.99,-17.77,1.14,5.13,3.70 3.48,146.59,144.53,-1.41
ADM,Archer-Daniels-Midland Company,Consumer Defensive ,S&P 500,49290000000.0,3600000000.0,94360000000.0,43.1,1.64,1.6,1.79,41000.0,Yes,Yes,2.3,14.09,14.37,1.53,0.52,2.07,54.4,61.53,0.9,1.5,0.47,0.33,4.82,6.34,6.21,1.44,52.5,-10.81,,17.2,6.5,19.0,73.2,Oct 25 e9e6O,3.28,0.3,-18.62,81.1,0.06,6.1,15.5,6.6,7.4,3.9,3.8,24.2,7.51,566000000.0,557800000.0,1.53,3.2,98.31,61.80 - 98.88,-9.71,44.47,58.23,0.84,2670000.0,2251966.0,4.1,9.34,13.13,-1.85,34.82,32.09,0.8,2.57,2.00 2.87,89.69,89.28,-0.46
ADP,"Automatic Data Processing, Inc.",Industrials ,S&P 500,97010000000.0,2950000000.0,16500000000.0,7.76,3.62,4.16,1.76,60000.0,Yes,Yes,3.0,33.83,26.51,2.33,5.88,30.53,65.4,76.62,1.0,1.0,0.93,0.93,2.77,7.0,8.94,1.79,15.4,11.4,,12.0,5.9,10.5,18.2,Oct 26 e9e6O,-1.07,0.1,-41.73,80.9,-0.32,4.6,66.2,47.1,42.8,22.9,17.9,56.0,6.01,415800000.0,414820000.0,1.34,3.35,246.88,192.26 - 261.59,-9.43,23.22,54.61,1.04,1670000.0,1730064.0,1.64,2.88,8.72,4.34,8.8,-3.92,0.83,5.98,2.34 2.47,232.74,236.91,1.79
ADPT,Adaptive Biotechnologies Corporation,Healthcare ,,924000000.0,-232100000.0,159700000.0,3.64,2.74,,,858.0,Yes,Yes,2.2,,,,5.79,1.81,2.41,,3.8,3.9,0.0,0.0,-4.46,-1.64,-1.54,-0.37,-32.5,1.9,,,,13.5,-4.1,Nov 03 Ae6C,-21.45,0.5,-3.13,87.0,-5.84,-25.9,-39.9,-34.6,65.6,,,,-38.51,142360000.0,140520000.0,4.59,5.67,13.17,5.95 - 37.55,-82.42,10.83,42.19,0.86,1140000.0,980023.0,-3.37,1.54,-25.76,-29.34,-80.38,-76.48,1.0,0.55,8.39 7.60,6.47,6.6,2.01
